time,split,cpu_limit,cpu_usage,lat50_ms,lat75_ms,lat95_ms,lat99_ms,min_ms,n,ram_limit_mb,ram_usage_mb
1647813806.0,test,2.0,1.3490615,39808.2355,40848.2995,42159.5905,42670.576,34390.9005,375.0,2688.0,1172.084736
1647813873.0,test,2.25,1.524611625,33247.863125,34464.947125,36011.676875,36588.94725,26816.753125000003,393.75,2976.0,1223.39072
1647813940.0,test,2.5,1.70016175,26687.49075,28081.594750000004,29863.763250000004,30507.3185,19242.60575,412.5,3264.0,1274.696704
1647814007.0,test,2.75,1.875711875,20127.118375,21698.242375,23715.849625000003,24425.689750000005,11668.458375000002,431.25,3552.0,1326.002688
1647814074.0,test,3.0,2.051262,13566.746,15314.89,17567.936,18344.061,4094.311,450.0,3840.0,1377.308672
1647814141.0,test,1.0,0.673988,72555.109,72817.038,73207.491,73364.813,71397.427,350.0,1536.0,1063.972864
1647814208.0,test,3.0,2.051262,13309.92,15182.765,17164.902,18341.632,3999.38,450.0,3840.0,1346.646016
1647814275.0,test,1.0,0.669275,72417.206,72650.166,72980.778,73273.065,71519.876,350.0,1536.0,966.16448
1647814342.0,test,3.0,2.049333,13340.916,16023.841,18166.479,19370.459,4715.201,450.0,3840.0,1348.493312
1647814409.0,test,2.0,1.354289,45490.3475,46979.036,48241.5065,48963.4435,40672.983,425.0,2688.0,1296.037888
1647814476.0,test,1.0,0.659245,77639.779,77934.231,78316.534,78556.428,76630.765,400.0,1536.0,1243.582464
1647814543.0,test,3.0,2.065748,22532.388,24655.593,26935.098,27690.323,7032.17,500.0,3840.0,1512.894464
1647814610.0,test,1.0,0.651406,78473.904,78766.999,79198.57,79476.595,77115.353,400.0,1536.0,1262.215168
1647814677.0,test,3.0,2.088952,22837.964,24611.602,25995.112,26551.63,5283.021,500.0,3840.0,1482.170368
1647814744.0,test,3.0,2.1040045000000003,18846.1175,20653.816,22519.7535,23379.767,4752.7880000000005,500.0,3840.0,1512.771584
1647814811.0,test,3.0,2.119057,14854.271,16696.03,19044.395,20207.904,4222.555,500.0,3840.0,1543.3728
1647814878.0,test,2.0,1.3528250000000002,48310.30699999999,49384.5825,50756.9715,51503.116,42356.387,475.0,2688.0,1947.3192140799983
1647814945.0,test,1.0,0.586593,81766.343,82073.135,82469.548,82798.328,80490.219,450.0,1536.0,2351.265628159997
1647815012.0,test,3.0,2.119057,30814.319,32187.958,33265.396,34091.645,16365.158,550.0,3840.0,1607.913472
1647815079.0,test,1.0,0.643102,82327.149,82589.962,82976.14,83199.965,81204.033,450.0,1536.0,2351.265628159997
1647815146.0,test,3.0,2.070777,30319.414,32030.389,33523.681,34190.177,21838.236,550.0,3840.0,1690.349568
1647815213.0,test,3.0,2.070777,28900.076,30527.43,32312.9085,32859.487,19963.3015,550.0,3840.0,1679.17568
1647815280.0,test,3.0,2.070777,27480.738,29024.471,31102.136,31528.797,18088.367,550.0,3840.0,1668.001792
1647815347.0,test,2.0,1.3485605,56549.944,57619.54149999999,59014.7755,59370.6385,51089.3575,525.0,2688.0,2009.6337100799983
1647815414.0,test,1.0,0.626344,85619.15,86214.612,86927.415,87212.48,84090.348,500.0,1536.0,2351.265628159997
1647815481.0,test,3.0,2.017359,33255.397,34583.675,36450.386,37244.303,23684.031,600.0,3840.0,1806.106624
1647815548.0,test,3.0,2.1831435,29582.717,31009.1985,32436.927,33135.693,19387.109,600.0,3840.0,1777.14176
1647815615.0,test,3.0,2.348928,25910.037,27434.722,28423.468,29027.083,15090.187,600.0,3840.0,1748.176896
1647815682.0,test,3.0,2.348928,30287.3735,31841.968,33028.0565,33571.937999999995,21942.2595,600.0,3840.0,1755.981824
1647815749.0,test,3.0,2.348928,34664.71,36249.214,37632.645,38116.793,28794.332,600.0,3840.0,1763.786752
1647815816.0,test,2.6,2.0017726,27731.866,28999.5024,30106.299,30493.6864,23035.5038,490.0,3430.4,1460.8162816
1647815883.0,test,2.2,1.6546172,20799.022,21749.7908,22579.953,22870.5798,17276.6756,380.0,3020.8,1157.8458112
1647815950.0,test,1.7999999999999998,1.3074618,13866.178,14500.0792,15053.606999999996,15247.4732,11517.8474,270.0,2611.2,854.8753408000001
