time,split,cpu_limit,cpu_usage,lat50_ms,lat75_ms,lat95_ms,lat99_ms,min_ms,n,ram_limit_mb,ram_usage_mb
1644355601.0,train,4.0,1.620215,0.313,0.419,0.679,1.436,0.18,100.0,1920.0,308.477952
1644355668.0,train,4.0,1.692166,0.331,0.443,0.967,1.884,0.187,100.0,1920.0,281.878528
1644355735.0,train,1.0,0.267136,54046.713,54315.105,54591.415,54680.541,53576.012,550.0,3712.0,1029.943296
1644355802.0,train,4.0,2.067497,0.308,0.396,0.732,1.433,0.194,100.0,1920.0,303.280128
1644355869.0,train,1.0,0.1104207599999999,49900.454,50178.638,50537.639,50653.525,48773.502,300.0,3840.0,657.063936
1644355936.0,train,4.0,2.212811,1.058,4.387,19.675,30.643,0.193,150.0,1920.0,329.609216
1644356003.0,train,1.0,0.153413,49768.102,50011.885,50281.333,50518.237,48907.286,300.0,3840.0,850.251776
1644356070.0,train,4.0,2.402211,14.955,23.166,36.533,46.684,0.304,150.0,1920.0,333.996032
1644356137.0,train,1.0,0.231226,51344.318,51556.787,51760.91,51889.822,50615.123,350.0,3840.0,753.799168
1644356204.0,train,4.0,2.449956,60.487,76.3,101.789,125.064,5.652,200.0,1920.0,382.988288
1644356271.0,train,4.0,2.449956,67.459,101.487,301.802,364.532,2.599,200.0,1920.0,381.505536
1644356338.0,train,1.0,0.268028,52143.583,52332.04,52554.205,52645.701,51117.96,450.0,3840.0,1044.897792
1644356405.0,train,4.0,2.393509,62.134,78.894,101.346,128.198,0.671,200.0,1920.0,385.052672
1644356472.0,train,1.0,0.266607,53227.361,53388.624,53865.948,53926.29,52368.89,500.0,3840.0,1046.474752
1644356539.0,train,4.0,2.388413,109.157,129.488,159.872,185.841,13.813,250.0,1920.0,456.429568
1644356606.0,train,2.584805266233549,1.3880710702831738,24973.50978435853,25064.258837329744,25261.93684697508,25331.35076740863,24680.054392175574,423.3388213459834,2833.349574825092,747.8004233331728
1644356673.0,train,1.0,0.2688,53472.571,53633.113,54050.937,54130.672,52812.027,600.0,3840.0,1110.474752
1644356740.0,train,4.0,2.358324,114.496,132.056,160.267,179.589,29.676,250.0,1920.0,457.744384
1644356807.0,train,1.0,0.1104207599999999,47644.567,47878.659,48228.231,48448.357,46955.462,250.0,3968.0,604.749824
1644356874.0,train,1.0,0.173401,50125.988,50362.785,50637.663,50794.867,49404.46,300.0,3968.0,690.868224
1644356941.0,train,4.0,2.368748,156.02,183.543,224.09,254.475,46.116,300.0,1920.0,548.06528
1644357008.0,train,1.0,0.254476,51288.253,51475.959,51777.325,51938.863,50570.762,350.0,3968.0,770.00704
1644357075.0,train,4.0,2.357813,158.024,191.838,247.03,286.248,67.298,300.0,1920.0,539.623424
1644357142.0,train,4.0,2.444974,155.594,182.148,230.751,274.598,49.588,300.0,1920.0,518.270976
1644357209.0,train,4.0,2.361568,233.065,268.738,332.843,376.371,89.423,350.0,1920.0,594.49344
1644357276.0,train,4.0,2.439616,235.39,270.697,329.157,381.854,71.495,350.0,1920.0,597.27872
1644357343.0,train,4.0,2.4352,248.554,286.027,347.948,390.944,43.237,350.0,1920.0,618.061824
1644357410.0,train,4.0,2.383073,249.586,297.952,359.251,418.527,86.214,350.0,1920.0,618.061824
1644357477.0,train,4.0,2.442355,235.165,267.723,321.971,371.496,67.156,350.0,1920.0,604.0576
1644357544.0,train,1.0,0.271586,53041.013,53227.848,53381.784,53440.315,52760.351,550.0,3968.0,1074.987008
1644357611.0,train,4.0,2.350017,4261.574,6270.677,8002.327,8742.758,810.765,400.0,1920.0,907.128832
1644357678.0,train,1.0,0.1104207599999999,50114.773,50409.434,50810.363,51008.467,48817.145,300.0,4096.0,658.968576
1644357745.0,train,4.0,2.432607,3580.589,4708.543,6304.592,6825.802,811.226,400.0,1920.0,1019.940864
1644357812.0,train,1.0,0.177039,49835.459,50005.681,50254.508,50368.895,49074.553,300.0,4096.0,711.180288
1644357879.0,train,1.0,0.257212,51546.015,51773.164,52136.424,52366.836,50836.65,350.0,4096.0,774.549504
1644357946.0,train,4.0,2.376757,7887.139,9662.713,11746.656,12430.592,3863.452,450.0,1920.0,1237.069824
1644358013.0,train,1.0,0.264256,49981.109,50146.137,50415.258,50525.775,49218.903,400.0,4096.0,909.76256
1644358080.0,train,4.0,2.422984,7176.852,8074.808,8924.301,9380.041,3861.586,450.0,1920.0,1277.038592
1644358147.0,train,4.0,2.483726,8092.478,8889.898,9779.106,10350.873,3591.432,450.0,1920.0,1339.416576
1644358214.0,train,4.0,2.348044,6600.83,7459.748,8350.001,9542.225,3730.612,450.0,1920.0,1339.416576
1644358281.0,train,4.0,2.522089,11497.917,13311.686,15638.978,16242.06,3942.208,500.0,1920.0,1432.69888
1644358348.0,train,4.0,2.425426,10538.98,12719.126,15023.358,15577.676,3523.507,500.0,1920.0,1522.05312
