time,split,cpu_limit,cpu_usage,lat50_ms,lat75_ms,lat95_ms,lat99_ms,min_ms,n,ram_limit_mb,ram_usage_mb
1647260788.0,train,10.075758194342468,83.57739457537394,7245.153483307649,5842.122912965379,3206.030431902589,2371.096328090253,12716.385654718992,34.359675527960164,1024.056882487365,-92.60210954145454
1647260855.0,train,10.03549517221425,83.06475612846035,7157.2086230151535,5773.117484962356,3172.0293751612894,2347.8742314496985,12554.869091983212,34.569257747166894,1024.056120148724,-88.41837269539467
1647260922.0,train,9.995221409975771,82.55165051148497,7069.794284954683,5704.513882702252,3138.196235221405,2324.7501612822743,12394.381051552093,34.77742630173209,1024.055362952906,-84.25985507048529
1647260989.0,train,9.954936907627044,82.03807772444779,6982.910469126238,5636.312106185069,3104.5310120829395,2301.7241175879813,12234.921533425648,34.98418119165576,1024.054610899911,-80.12655666672649
1647261056.0,train,9.914641665168055,81.52403776734884,6896.55717552982,5568.5121554108055,3071.0337057458896,2278.796100366817,12076.49053760387,35.18952241693791,1024.0538639897395,-76.01847748411815
1647261123.0,train,9.874335682598812,81.00953064018807,6810.734404165428,5501.11403037946,3037.704316210256,2255.966109618784,11919.088064086754,35.39344997757852,1024.0531222223913,-71.93561752266037
1647261190.0,train,9.834018959919316,80.49455634296554,6725.442155033064,5434.117731091038,3004.54284347604,2233.2341453438817,11762.714112874311,35.59596387357761,1024.0523855978668,-67.87797678235306
1647261257.0,train,9.79369149712956,79.97911487568122,6640.680428132724,5367.523257545534,2971.54928754324,2210.6002075421093,11607.368683966535,35.79706410493516,1024.0516541161649,-63.84555526319638
1647261324.0,train,9.75335329422955,79.46320623833508,6556.449223464413,5301.33060974295,2938.723648411856,2188.0642962134675,11453.051777363433,35.99675067165118,1024.0509277772865,-59.83835296519019
1647261391.0,train,9.713004351219285,78.94683043092716,6472.748541028126,5235.539787683286,2906.0659260818898,2165.626411357956,11299.76339306499,36.195023573725685,1024.0502065812316,-55.85636988833445
1647261458.0,train,9.67264466809876,78.42998745345746,6389.578380823866,5170.150791366541,2873.576120553339,2143.2865529755745,11147.503531071216,36.391882811158645,1024.0494905279998,-51.89960603262932
1647261525.0,train,9.63227424486798,77.91267730592597,6306.938742851632,5105.163620792716,2841.254231826206,2121.044721066324,10996.272191382115,36.58732838395009,1024.0487796175912,-47.96806139807469
1647261592.0,train,9.591893081526944,77.39489998833267,6224.829627111424,5040.578275961811,2809.1002599004887,2098.9009156302027,10846.069373997678,36.78136029209999,1024.048073850006,-44.06173598467058
1647261659.0,train,9.551501178075652,76.87665550067759,6143.251033603243,4976.394756873826,2777.114204776188,2076.8551366672123,10696.895078917909,36.97397853560837,1024.047373225244,-40.180629792416894
1647261726.0,train,9.511098534514105,76.35794384296071,6062.202962327087,4912.613063528762,2745.296066453305,2054.9073841773525,10548.749306142809,37.16518311447522,1024.046677743305,-36.324742821313926
1647261793.0,train,9.470685150842298,75.83876501518203,5981.685413282959,4849.233195926616,2713.645844931837,2033.0576581606229,10401.632055672377,37.35497402870053,1024.0459874041896,-32.49407507136144
1647261860.0,train,9.43026102706024,75.31911901734158,5901.698386470856,4786.25515406739,2682.1635402117868,2011.3059586170232,10255.543327506608,37.543351278284334,1024.0453022078975,-28.688626542559355
1647261927.0,train,9.389826163167925,74.79900584943937,5822.241881890781,4723.678937951086,2650.8491522931527,1989.6522855465544,10110.483121645517,37.73031486322659,1024.044622154429,-24.9083972349079
1647261994.0,train,9.34938055916535,74.27842551147532,5743.31589954273,4661.504547577699,2619.702681175935,1968.096638949216,9966.45143808908,37.915864783527326,1024.043947243783,-21.1533871484069
1647262061.0,train,9.308924215052524,73.75737800344949,5664.920439426706,4599.731982947233,2588.724126860134,1946.6390188250075,9823.448276837318,38.10000103918653,1024.0432774759606,-17.42359628305647
1647262128.0,train,9.268457130829438,73.23586332536186,5587.05550154271,4538.361244059686,2557.9134893457503,1925.2794251739297,9681.473637890227,38.2827236302042,1024.0426128509614,-13.71902463885658
1647262195.0,train,9.227979306496096,72.71388147721245,5509.721085890738,4477.39233091506,2527.270768632782,1904.0178579959816,9540.5275212478,38.46403255658034,1024.0419533687857,-10.039672215807151
1647262262.0,train,9.1874907420525,72.19143245900125,5432.917192470793,4416.825243513354,2496.7959647212315,1882.8543172911643,9400.60992691004,38.64392781831495,1024.041299029433,-6.385539013908291
1647262329.0,train,9.146991437498649,71.66851627072828,5356.643821282876,4356.659981854568,2466.4890776110974,1861.7888030594777,9261.720854876954,38.822409415408046,1024.040649832904,-2.7566250331599726
1647262396.0,train,9.106481392834535,71.14513291239348,5280.900972326982,4296.8965459387,2436.350107302379,1840.8213153009208,9123.86030514853,38.9994773478596,1024.0400057791978,0.8470697264378604
1647262463.0,train,9.065960608060172,70.62128238399691,5205.688645603117,4237.534935765753,2406.3790537950777,1819.9518540154943,8987.028277724776,39.17513161566962,1024.0393668683148,4.425545264885123
1647262530.0,train,9.02542908317555,70.09696468553855,5131.006841111276,4178.575151335726,2376.575917089193,1799.1804192031989,8851.224772605688,39.34937221883812,1024.0387331002555,7.978801582181957
1647262597.0,train,8.984886818180673,69.5721798170184,5056.855558851465,4120.017192648619,2346.9406971847247,1778.507010864033,8716.449789791272,39.52219915736508,1024.0381044750193,11.506838678328108
1647262664.0,train,8.944333813075538,69.04692777843644,4983.234798823677,4061.8610597044326,2317.4733940816736,1757.9316289979977,8582.70332928152,39.69361243125052,1024.0374809926063,15.009656553323886
1647262731.0,train,8.90377006786015,68.52120856979272,4910.144561027916,4004.106752503165,2288.1740077800387,1737.4542736050928,8449.985391076436,39.86361204049443,1024.036862653017,18.487255207169063
1647262798.0,train,8.863195582534503,67.99502219108717,4837.584845464182,3946.754271044817,2259.0425382798203,1717.074944685318,8318.295975176023,40.032197985096815,1024.0362494562503,21.93963463986373
1647262865.0,train,8.822610357098602,67.46836864231986,4765.555652132473,3889.803615329389,2230.078985581019,1696.793642238674,8187.635081580275,40.19937026505766,1024.0356414023072,25.366794851407853
1647262932.0,train,8.782014391552442,66.94124792349074,4694.05698103279,3833.254785356881,2201.2833496836333,1676.6103662651597,8058.002710289194,40.36512888037698,1024.0350384911872,28.768735841801465
1647262999.0,train,8.741407685896029,66.41366003459986,4623.088832165136,3777.107781127293,2172.655630587665,1656.5251167647764,7929.398861302782,40.52947383105477,1024.0344407228908,32.14545761104456
1647263066.0,train,8.700790240129358,65.88560497564715,4552.651205529505,3721.3626026406246,2144.195828293113,1636.537893737523,7801.823534621039,40.69240511709104,1024.0338480974174,35.49696015913712
1647263133.0,train,8.660162054252432,65.35708274663267,4482.744101125903,3666.019249896876,2115.903942799978,1616.6486971834,7675.276730243962,40.85392273848577,1024.0332606147674,38.823243486079214
1647263200.0,train,8.619523128265248,64.8280933475564,4413.3675189543255,3611.077722896048,2087.7799741082595,1596.8575271024076,7549.758448171554,41.01402669523897,1024.0326782749405,42.12430759187071
1647263267.0,train,8.578873462167808,64.29863677841833,4344.521459014775,3556.5380216381386,2059.823922217957,1577.1643834945453,7425.268688403815,41.17271698735064,1024.0321010779369,45.40015247651169
1647263334.0,train,8.538213055960115,63.76871303921848,4276.20592130725,3502.40014612315,2032.035787129072,1557.5692663598134,7301.807450940742,41.32999361482079,1024.031529023757,48.6507781400022
1647263401.0,train,8.497541909642162,63.23832212995682,4208.420905831752,3448.664096351081,2004.4155688416029,1538.0721756982116,7179.374735782338,41.4858565776494,1024.0309621124,51.8761845823421
1647263468.0,train,8.456860023213956,62.70746405063338,4141.166412588281,3395.329872321932,1976.9632673555504,1518.6731115097405,7057.970542928601,41.64030587583649,1024.0304003438662,55.076371803531536
1647263535.0,train,8.416167396675492,62.17613880124815,4074.442441576835,3342.3974740357016,1949.6788826709144,1499.3720737943995,6937.594872379532,41.793341509382046,1024.0298437181557,58.25133980357041
