time,cpu_limit,cpu_usage,n,c,ram_limit_mb,ram_usage_mb,lat50_ms,lat66_ms,lat75_ms,lat80_ms,lat90_ms,lat95_ms,lat98_ms,lat99_ms,lat100_ms,t_norm,sin_day,cos_day,sin_hour,cos_hour,is_gap,time_since_last_obs,time_to_next_obs
1647438147.0,2.0,0.0,100.0,1.0,768.0,18.518016,31.0,33.0,34.0,35.0,37.0,39.0,47.0,66.0,66.0,0.0,-0.4322824878529843,-0.901738238457056,-0.9645574184839484,-0.2638730498697839,0.0,0.0,0.0
1647438151.0,2.0,0.0,100.0,3.0,716.8,23.4299392,253.0,256.6,259.4,273.4,276.0,277.6,284.0,299.2,299.2,5.1770552909505074e-05,-0.4325447745616335,-0.9016124544389488,-0.966376079213169,-0.2571327935611924,1.0,1.0,4.0
1647438155.0,2.0,0.0,100.0,5.0,665.6,28.3418624,475.0,480.2,484.8,511.8,515.0,516.2,521.0,532.4,532.4,0.000103541105819,-0.4328070247094565,-0.9014865941111648,-0.9681476403758398,-0.2503800040632112,1.0,2.0,3.0
1647438159.0,2.0,0.0,100.0,7.0,614.4,33.2537856,697.0,703.8,710.2,750.2,754.0,754.8,758.0,765.5999999999999,765.5999999999999,0.0001553116587285,-0.4330692382217801,-0.9013606575095272,-0.9698720152693654,-0.2436150118472584,1.0,3.0,2.0
1647438163.0,2.0,0.0,100.0,9.0,563.2,38.165708800000004,919.0,927.4,935.6,988.6,993.0,993.4,995.0,998.8,998.8,0.000207082211638,-0.4333314150633078,-0.9012346446510094,-0.9715491199698844,-0.2368381461795017,1.0,4.0,1.0
1647438167.0,2.0,0.0,100.0,11.0,512.0,43.077632,1141.0,1151.0,1161.0,1227.0,1232.0,1232.0,1232.0,1232.0,1232.0,0.0002588527645475,-0.4335935552643176,-0.9011085555210588,-0.9731788727376812,-0.2300497373548078,0.0,0.0,0.0
1647438171.0,2.0,0.0025905999999999998,100.0,13.0,588.8,42.9785088,1299.8,1342.4,1350.6,1409.0,1413.2,1413.2,1413.2,1413.2,1413.2,0.000310623317457,-0.4338556587763951,-0.9009823901429485,-0.9747611942448652,-0.2232501157767322,1.0,1.0,4.0
1647438175.0,2.0,0.0051811999999999995,100.0,15.0,665.6,42.8793856,1458.6,1533.8,1540.2,1591.0,1594.4,1594.4,1594.4,1594.4,1594.4,0.0003623938703665,-0.4341177255642532,-0.9008561485336712,-0.9762960070594476,-0.2164396142109361,1.0,2.0,3.0
1647438179.0,2.0,0.007771799999999999,100.0,17.0,742.4,42.780262400000005,1617.4,1725.2,1729.8,1773.0,1775.6,1775.6,1775.6,1775.6,1775.6,0.000414164423276,-0.434379755631937,-0.9007298306912782,-0.9777832367863016,-0.2096185627746332,1.0,3.0,2.0
1647438183.0,2.0,0.010362399999999999,100.0,19.0,819.2,42.681139200000004,1776.2,1916.6,1919.4,1955.0,1956.8,1956.8,1956.8,1956.8,1956.8,0.0004659349761855,-0.4346417489441634,-0.9006034366327716,-0.979222810637592,-0.2027872952800899,1.0,4.0,1.0
