time,cpu_limit,cpu_usage,n,ram_limit_mb,ram_usage_mb,min_ms,lat50_ms,lat75_ms,lat95_ms,lat99_ms,t_norm,sin_day,cos_day,is_gap,time_since_last_obs,time_to_next_obs
1647850118.0,1.0,0.00405887,50.0,3328.0,252.788736,83.665,147.421,160.061,179.445,196.201,0.6431033162288428,0.8465804609014548,-0.5322607661850349,0.0,0.0,0.0
1647850187.0,2.5,0.01434615,400.0,2304.0,1262.481408,23833.943,30261.269,32446.045,34155.83,35064.122,0.6431799035000383,0.8438990247403906,-0.5365020373141351,0.0,0.0,0.0
1647850256.0,1.0,0.00455557,50.0,3328.0,252.542976,76.473,140.208,152.03,174.017,195.206,0.6432564907712338,0.8411963404761705,-0.540729800149297,0.0,0.0,0.0
1647850325.0,2.5,0.01478325,400.0,2304.0,1287.016448,21840.861,28023.516,30112.985,32402.365,33362.441,0.6433330780424293,0.8384724761739538,-0.5449439482173543,0.0,0.0,0.0
1647850394.0,1.75,0.00992475,250.0,2816.0,878.321664,17260.864,20638.57,21800.1815,25117.7455,26326.275,0.6434096653136249,0.8357275003927158,-0.5491443754490646,1.0,1.0,1.0
1647850463.0,1.0,0.00506625,100.0,3328.0,469.62688,12680.867,13253.624,13487.378,17833.126,19290.109,0.6434862525848204,0.8329614822786184,-0.5533309760353262,0.0,0.0,0.0
1647850532.0,1.0,0.00535555,100.0,3328.0,478.593024,10790.536,11407.451000000001,11601.3945,13851.404999999999,14633.506000000001,0.6435628398560159,0.8301744914599354,-0.5575036445883002,1.0,1.0,1.0
1647850601.0,1.0,0.00564485,100.0,3328.0,487.559168,8900.205,9561.278,9715.411,9869.684,9976.903,0.6436394271272114,0.8273665981006877,-0.5616622760585717,0.0,0.0,0.0
1647850670.0,2.5,0.01439945,450.0,2304.0,1362.743296,27291.21,37364.524,39691.892,42462.604,43358.965,0.643716014398407,0.8245378729156502,-0.565806765713998,0.0,0.0,0.0
1647850739.0,1.0,0.00564485,100.0,3328.0,469.204992,8647.372,9117.761,9201.107,9366.414,9611.214,0.6437926016696025,0.8216883871031252,-0.5699370092386216,0.0,0.0,0.0
1647850808.0,2.5,0.01470712,450.0,2304.0,1341.00992,27228.943,37055.051,39495.894,42369.161,43975.859,0.643869188940798,0.8188182124418907,-0.5740529025912741,0.0,0.0,0.0
1647850877.0,1.0,0.00528012,150.0,3328.0,592.953344,32737.442,34533.585,34830.674,35196.618,35457.425,0.6439457762119936,0.8159274211652902,-0.5781543421877581,0.0,0.0,0.0
1647850946.0,2.5,0.0150422799999999,500.0,2304.0,1452.392448,40576.3,46419.971,47935.998,49540.155,50133.955,0.6440223634831891,0.8130160860925897,-0.5822412247124785,0.0,0.0,0.0
1647851015.0,1.0,0.00520817,150.0,3328.0,578.732032,35317.86,36237.014,36436.963,36664.572,36862.98,0.6440989507543846,0.8100842805100759,-0.5863134472877736,0.0,0.0,0.0
1647851084.0,1.0,0.00520817,150.0,3328.0,588.988416,35223.3145,36238.5495,36453.3605,36744.381,36902.7865,0.6441755380255801,0.8071320782275679,-0.590370907393011,1.0,1.0,1.0
1647851153.0,1.0,0.00520817,150.0,3328.0,599.2448,35128.769,36240.085,36469.758,36824.19,36942.593,0.6442521252967757,0.804159553594157,-0.5944135028439765,0.0,0.0,0.0
1647851222.0,1.75,0.010176515,325.0,2816.0,1033.156608,37303.952000000005,41596.195999999996,42835.924,43954.534,44346.844,0.6443287125679712,0.8011667814275483,-0.598441131889364,1.0,1.0,1.0
1647851291.0,2.5,0.01514486,500.0,2304.0,1467.068416,39479.135,46952.307,49202.09,51084.878,51751.095,0.6444052998391667,0.7981538371159145,-0.602453693072872,0.0,0.0,0.0
1647851360.0,1.0,0.00528656,200.0,3328.0,704.04096,54746.497,55617.053,55838.004,56167.528,56353.809,0.6444818871103623,0.7951207964944911,-0.606451085399281,0.0,0.0,0.0
1647851429.0,2.5,0.01514486,550.0,2304.0,1645.727744,46795.992,55018.713,56818.369,58957.712,60177.088,0.6445584743815578,0.7920677359482245,-0.6104332081971406,0.0,0.0,0.0
1647851498.0,1.0,0.00533227,200.0,3328.0,756.514816,55486.609,56311.251,56541.639,56847.807,57024.307,0.6446350616527533,0.7889947323397741,-0.6143999612142633,0.0,0.0,0.0
