,real,imaginary,key_subcarriers_232_50,key_antennas_232_50,key_user_position
0,-0.3359375,0.90234375,0,50,[-812 1780  400]
1,-0.3359375,0.93359375,1,50,[-812 1780  400]
2,-0.29296875,0.96484375,2,50,[-812 1780  400]
3,-0.28125,0.96484375,3,50,[-812 1780  400]
4,-0.2421875,0.99609375,4,50,[-812 1780  400]
5,-0.2421875,1.00390625,5,50,[-812 1780  400]
6,-0.21484375,1.0234375,6,50,[-812 1780  400]
7,-0.18359375,1.03125,7,50,[-812 1780  400]
8,-0.171875,1.0546875,8,50,[-812 1780  400]
9,-0.171875,1.0546875,9,50,[-812 1780  400]
10,-0.1484375,1.03125,10,50,[-812 1780  400]
11,-0.13671875,1.06640625,11,50,[-812 1780  400]
12,-0.109375,1.05078125,12,50,[-812 1780  400]
13,-0.1328125,1.05078125,13,50,[-812 1780  400]
14,-0.1171875,1.06640625,14,50,[-812 1780  400]
15,-0.09375,1.04296875,15,50,[-812 1780  400]
16,-0.109375,1.0703125,16,50,[-812 1780  400]
17,-0.109375,1.05078125,17,50,[-812 1780  400]
18,-0.10546875,1.0546875,18,50,[-812 1780  400]
19,-0.10546875,1.0546875,19,50,[-812 1780  400]
20,-0.109375,1.0390625,20,50,[-812 1780  400]
21,-0.09375,1.0546875,21,50,[-812 1780  400]
22,-0.09765625,1.05078125,22,50,[-812 1780  400]
23,-0.12109375,1.0390625,23,50,[-812 1780  400]
24,-0.1171875,1.04296875,24,50,[-812 1780  400]
25,-0.1328125,1.0390625,25,50,[-812 1780  400]
26,-0.1484375,1.04296875,26,50,[-812 1780  400]
27,-0.14453125,1.0625,27,50,[-812 1780  400]
28,-0.16015625,1.03125,28,50,[-812 1780  400]
29,-0.1640625,1.05078125,29,50,[-812 1780  400]
30,-0.17578125,1.02734375,30,50,[-812 1780  400]
31,-0.1875,1.02734375,31,50,[-812 1780  400]
32,-0.203125,1.0546875,32,50,[-812 1780  400]
33,-0.23046875,1.05078125,33,50,[-812 1780  400]
34,-0.23046875,1.0390625,34,50,[-812 1780  400]
35,-0.23046875,1.0625,35,50,[-812 1780  400]
36,-0.2578125,1.04296875,36,50,[-812 1780  400]
37,-0.27734375,1.05078125,37,50,[-812 1780  400]
38,-0.2890625,1.0390625,38,50,[-812 1780  400]
39,-0.30859375,1.0390625,39,50,[-812 1780  400]
40,-0.296875,1.0390625,40,50,[-812 1780  400]
41,-0.32421875,1.04296875,41,50,[-812 1780  400]
42,-0.3359375,1.03125,42,50,[-812 1780  400]
43,-0.35546875,1.0390625,43,50,[-812 1780  400]
44,-0.37109375,1.0234375,44,50,[-812 1780  400]
45,-0.38671875,1.02734375,45,50,[-812 1780  400]
46,-0.38671875,1.02734375,46,50,[-812 1780  400]
47,-0.40234375,1.0234375,47,50,[-812 1780  400]
48,-0.41015625,1.00390625,48,50,[-812 1780  400]
49,-0.4296875,1.015625,49,50,[-812 1780  400]
50,-0.44140625,1.00390625,50,50,[-812 1780  400]
51,-0.46484375,0.984375,51,50,[-812 1780  400]
52,-0.46875,1.0,52,50,[-812 1780  400]
53,-0.4921875,0.9765625,53,50,[-812 1780  400]
54,-0.51953125,0.97265625,54,50,[-812 1780  400]
55,-0.51953125,0.97265625,55,50,[-812 1780  400]
56,-0.53515625,0.93359375,56,50,[-812 1780  400]
57,-0.5625,0.9375,57,50,[-812 1780  400]
58,-0.57421875,0.9375,58,50,[-812 1780  400]
59,-0.5703125,0.91015625,59,50,[-812 1780  400]
60,-0.61328125,0.90234375,60,50,[-812 1780  400]
61,-0.62890625,0.8828125,61,50,[-812 1780  400]
62,-0.625,0.8671875,62,50,[-812 1780  400]
63,-0.64453125,0.85546875,63,50,[-812 1780  400]
64,-0.65234375,0.8515625,64,50,[-812 1780  400]
65,-0.69140625,0.8359375,65,50,[-812 1780  400]
66,-0.71875,0.828125,66,50,[-812 1780  400]
67,-0.703125,0.8125,67,50,[-812 1780  400]
68,-0.72265625,0.7890625,68,50,[-812 1780  400]
69,-0.74609375,0.77734375,69,50,[-812 1780  400]
70,-0.76171875,0.75,70,50,[-812 1780  400]
71,-0.77734375,0.76953125,71,50,[-812 1780  400]
72,-0.78515625,0.75,72,50,[-812 1780  400]
73,-0.78515625,0.71875,73,50,[-812 1780  400]
74,-0.81640625,0.6953125,74,50,[-812 1780  400]
75,-0.82421875,0.66796875,75,50,[-812 1780  400]
76,-0.86328125,0.65234375,76,50,[-812 1780  400]
77,-0.86328125,0.6640625,77,50,[-812 1780  400]
78,-0.87890625,0.63671875,78,50,[-812 1780  400]
79,-0.87890625,0.61328125,79,50,[-812 1780  400]
80,-0.89453125,0.5859375,80,50,[-812 1780  400]
81,-0.91796875,0.57421875,81,50,[-812 1780  400]
82,-0.91015625,0.55859375,82,50,[-812 1780  400]
83,-0.9375,0.53125,83,50,[-812 1780  400]
84,-0.93359375,0.515625,84,50,[-812 1780  400]
85,-0.94921875,0.484375,85,50,[-812 1780  400]
86,-0.96484375,0.46875,86,50,[-812 1780  400]
87,-0.96484375,0.46875,87,50,[-812 1780  400]
88,-0.97265625,0.4296875,88,50,[-812 1780  400]
89,-0.9765625,0.4140625,89,50,[-812 1780  400]
90,-0.99609375,0.41796875,90,50,[-812 1780  400]
91,-1.015625,0.38671875,91,50,[-812 1780  400]
92,-0.99609375,0.375,92,50,[-812 1780  400]
93,-1.0234375,0.34765625,93,50,[-812 1780  400]
94,-1.02734375,0.34375,94,50,[-812 1780  400]
95,-1.03125,0.32421875,95,50,[-812 1780  400]
96,-1.04296875,0.31640625,96,50,[-812 1780  400]
97,-1.04296875,0.31640625,97,50,[-812 1780  400]
98,-1.03125,0.3046875,98,50,[-812 1780  400]
99,-1.015625,0.2890625,99,50,[-812 1780  400]
