,real,imaginary,key_subcarriers_67_50,key_antennas_67_50,key_user_position
0,-0.37109375,0.90234375,0,50,[-812 1780  400]
1,-0.35546875,0.94921875,1,50,[-812 1780  400]
2,-0.31640625,0.98828125,2,50,[-812 1780  400]
3,-0.2890625,0.984375,3,50,[-812 1780  400]
4,-0.27734375,1.015625,4,50,[-812 1780  400]
5,-0.2421875,0.99609375,5,50,[-812 1780  400]
6,-0.2265625,1.03125,6,50,[-812 1780  400]
7,-0.203125,1.04296875,7,50,[-812 1780  400]
8,-0.19921875,1.05078125,8,50,[-812 1780  400]
9,-0.1875,1.0390625,9,50,[-812 1780  400]
10,-0.1484375,1.0546875,10,50,[-812 1780  400]
11,-0.1484375,1.078125,11,50,[-812 1780  400]
12,-0.1328125,1.0703125,12,50,[-812 1780  400]
13,-0.1328125,1.0625,13,50,[-812 1780  400]
14,-0.1171875,1.0546875,14,50,[-812 1780  400]
15,-0.10546875,1.06640625,15,50,[-812 1780  400]
16,-0.109375,1.0703125,16,50,[-812 1780  400]
17,-0.1328125,1.0703125,17,50,[-812 1780  400]
18,-0.10546875,1.06640625,18,50,[-812 1780  400]
19,-0.08984375,1.0625,19,50,[-812 1780  400]
20,-0.09375,1.078125,20,50,[-812 1780  400]
21,-0.109375,1.0703125,21,50,[-812 1780  400]
22,-0.1171875,1.078125,22,50,[-812 1780  400]
23,-0.109375,1.0625,23,50,[-812 1780  400]
24,-0.1484375,1.06640625,24,50,[-812 1780  400]
25,-0.12890625,1.0546875,25,50,[-812 1780  400]
26,-0.16015625,1.06640625,26,50,[-812 1780  400]
27,-0.1640625,1.0625,27,50,[-812 1780  400]
28,-0.1640625,1.05078125,28,50,[-812 1780  400]
29,-0.19140625,1.06640625,29,50,[-812 1780  400]
30,-0.1640625,1.02734375,30,50,[-812 1780  400]
31,-0.18359375,1.0546875,31,50,[-812 1780  400]
32,-0.19921875,1.0390625,32,50,[-812 1780  400]
33,-0.2109375,1.05078125,33,50,[-812 1780  400]
34,-0.23046875,1.05078125,34,50,[-812 1780  400]
35,-0.2265625,1.06640625,35,50,[-812 1780  400]
36,-0.265625,1.05078125,36,50,[-812 1780  400]
37,-0.2578125,1.03125,37,50,[-812 1780  400]
38,-0.2890625,1.0390625,38,50,[-812 1780  400]
39,-0.29296875,1.04296875,39,50,[-812 1780  400]
40,-0.3046875,1.04296875,40,50,[-812 1780  400]
41,-0.31640625,1.0546875,41,50,[-812 1780  400]
42,-0.34375,1.05078125,42,50,[-812 1780  400]
43,-0.35546875,1.0390625,43,50,[-812 1780  400]
44,-0.37109375,1.03125,44,50,[-812 1780  400]
45,-0.3828125,1.0234375,45,50,[-812 1780  400]
46,-0.375,1.02734375,46,50,[-812 1780  400]
47,-0.40234375,1.01171875,47,50,[-812 1780  400]
48,-0.41796875,1.015625,48,50,[-812 1780  400]
49,-0.44921875,1.0,49,50,[-812 1780  400]
50,-0.4296875,0.984375,50,50,[-812 1780  400]
51,-0.46875,0.98828125,51,50,[-812 1780  400]
52,-0.46875,0.98828125,52,50,[-812 1780  400]
53,-0.4921875,0.9765625,53,50,[-812 1780  400]
54,-0.51953125,0.94921875,54,50,[-812 1780  400]
55,-0.5078125,0.94921875,55,50,[-812 1780  400]
56,-0.54296875,0.94921875,56,50,[-812 1780  400]
57,-0.546875,0.93359375,57,50,[-812 1780  400]
58,-0.58984375,0.93359375,58,50,[-812 1780  400]
59,-0.59765625,0.91796875,59,50,[-812 1780  400]
60,-0.58984375,0.90234375,60,50,[-812 1780  400]
61,-0.63671875,0.87890625,61,50,[-812 1780  400]
62,-0.62890625,0.8828125,62,50,[-812 1780  400]
63,-0.64453125,0.84375,63,50,[-812 1780  400]
64,-0.65625,0.84375,64,50,[-812 1780  400]
65,-0.68359375,0.828125,65,50,[-812 1780  400]
66,-0.7109375,0.82421875,66,50,[-812 1780  400]
67,-0.70703125,0.8046875,67,50,[-812 1780  400]
