,real,imaginary,key_subcarriers_85_27,key_antennas_85_27,key_user_position
0,-0.54296875,-0.1328125,0,27,[ 732 3404  400]
1,-0.578125,-0.1171875,1,27,[ 732 3404  400]
2,-0.578125,-0.08203125,2,27,[ 732 3404  400]
3,-0.59765625,-0.0546875,3,27,[ 732 3404  400]
4,-0.61328125,-0.02734375,4,27,[ 732 3404  400]
5,-0.609375,0.0,5,27,[ 732 3404  400]
6,-0.62890625,0.0234375,6,27,[ 732 3404  400]
7,-0.63671875,0.05078125,7,27,[ 732 3404  400]
8,-0.65625,0.0703125,8,27,[ 732 3404  400]
9,-0.62890625,0.08984375,9,27,[ 732 3404  400]
10,-0.64453125,0.1171875,10,27,[ 732 3404  400]
11,-0.62890625,0.1328125,11,27,[ 732 3404  400]
12,-0.65234375,0.15625,12,27,[ 732 3404  400]
13,-0.62890625,0.1640625,13,27,[ 732 3404  400]
14,-0.64453125,0.19140625,14,27,[ 732 3404  400]
15,-0.640625,0.2109375,15,27,[ 732 3404  400]
16,-0.6171875,0.22265625,16,27,[ 732 3404  400]
17,-0.609375,0.25390625,17,27,[ 732 3404  400]
18,-0.61328125,0.2578125,18,27,[ 732 3404  400]
19,-0.625,0.26953125,19,27,[ 732 3404  400]
20,-0.6015625,0.28125,20,27,[ 732 3404  400]
21,-0.61328125,0.29296875,21,27,[ 732 3404  400]
22,-0.5859375,0.30859375,22,27,[ 732 3404  400]
23,-0.6015625,0.3046875,23,27,[ 732 3404  400]
24,-0.59765625,0.30859375,24,27,[ 732 3404  400]
25,-0.5859375,0.33203125,25,27,[ 732 3404  400]
26,-0.57421875,0.3203125,26,27,[ 732 3404  400]
27,-0.5703125,0.31640625,27,27,[ 732 3404  400]
28,-0.57421875,0.33203125,28,27,[ 732 3404  400]
29,-0.5625,0.3203125,29,27,[ 732 3404  400]
30,-0.5625,0.33203125,30,27,[ 732 3404  400]
31,-0.55859375,0.3359375,31,27,[ 732 3404  400]
32,-0.55859375,0.34765625,32,27,[ 732 3404  400]
33,-0.5625,0.34375,33,27,[ 732 3404  400]
34,-0.5625,0.34375,34,27,[ 732 3404  400]
35,-0.546875,0.3359375,35,27,[ 732 3404  400]
36,-0.5703125,0.34765625,36,27,[ 732 3404  400]
37,-0.55859375,0.34765625,37,27,[ 732 3404  400]
38,-0.5703125,0.3359375,38,27,[ 732 3404  400]
39,-0.5703125,0.34765625,39,27,[ 732 3404  400]
40,-0.5625,0.35546875,40,27,[ 732 3404  400]
41,-0.55859375,0.34765625,41,27,[ 732 3404  400]
42,-0.5625,0.35546875,42,27,[ 732 3404  400]
43,-0.5859375,0.36328125,43,27,[ 732 3404  400]
44,-0.57421875,0.35546875,44,27,[ 732 3404  400]
45,-0.59765625,0.36328125,45,27,[ 732 3404  400]
46,-0.58984375,0.37109375,46,27,[ 732 3404  400]
47,-0.5859375,0.375,47,27,[ 732 3404  400]
48,-0.59765625,0.36328125,48,27,[ 732 3404  400]
49,-0.609375,0.3984375,49,27,[ 732 3404  400]
50,-0.609375,0.38671875,50,27,[ 732 3404  400]
51,-0.59765625,0.38671875,51,27,[ 732 3404  400]
52,-0.61328125,0.390625,52,27,[ 732 3404  400]
53,-0.61328125,0.390625,53,27,[ 732 3404  400]
54,-0.59765625,0.3984375,54,27,[ 732 3404  400]
55,-0.6015625,0.40234375,55,27,[ 732 3404  400]
56,-0.6015625,0.40234375,56,27,[ 732 3404  400]
57,-0.58984375,0.4140625,57,27,[ 732 3404  400]
58,-0.61328125,0.42578125,58,27,[ 732 3404  400]
59,-0.6015625,0.42578125,59,27,[ 732 3404  400]
60,-0.58984375,0.4375,60,27,[ 732 3404  400]
61,-0.578125,0.4375,61,27,[ 732 3404  400]
62,-0.57421875,0.4296875,62,27,[ 732 3404  400]
63,-0.5859375,0.41796875,63,27,[ 732 3404  400]
64,-0.578125,0.4375,64,27,[ 732 3404  400]
65,-0.57421875,0.4296875,65,27,[ 732 3404  400]
66,-0.546875,0.42578125,66,27,[ 732 3404  400]
67,-0.5703125,0.42578125,67,27,[ 732 3404  400]
68,-0.5625,0.44140625,68,27,[ 732 3404  400]
69,-0.57421875,0.41796875,69,27,[ 732 3404  400]
70,-0.5703125,0.42578125,70,27,[ 732 3404  400]
71,-0.55859375,0.40234375,71,27,[ 732 3404  400]
72,-0.55859375,0.4140625,72,27,[ 732 3404  400]
73,-0.5625,0.41015625,73,27,[ 732 3404  400]
74,-0.55859375,0.42578125,74,27,[ 732 3404  400]
75,-0.5625,0.41015625,75,27,[ 732 3404  400]
76,-0.55078125,0.3984375,76,27,[ 732 3404  400]
77,-0.546875,0.4140625,77,27,[ 732 3404  400]
78,-0.5625,0.3984375,78,27,[ 732 3404  400]
79,-0.53125,0.38671875,79,27,[ 732 3404  400]
80,-0.546875,0.390625,80,27,[ 732 3404  400]
81,-0.55078125,0.3984375,81,27,[ 732 3404  400]
82,-0.546875,0.40234375,82,27,[ 732 3404  400]
83,-0.53515625,0.390625,83,27,[ 732 3404  400]
84,-0.55078125,0.41015625,84,27,[ 732 3404  400]
85,-0.53515625,0.40234375,85,27,[ 732 3404  400]
86,-0.53515625,0.3828125,86,27,[ 732 3404  400]
87,-0.51953125,0.375,87,27,[ 732 3404  400]
88,-0.53515625,0.37109375,88,27,[ 732 3404  400]
89,-0.5234375,0.390625,89,27,[ 732 3404  400]
90,-0.5234375,0.3828125,90,27,[ 732 3404  400]
91,-0.515625,0.3828125,91,27,[ 732 3404  400]
92,-0.5234375,0.37109375,92,27,[ 732 3404  400]
93,-0.50390625,0.3828125,93,27,[ 732 3404  400]
94,-0.49609375,0.36328125,94,27,[ 732 3404  400]
95,-0.4921875,0.359375,95,27,[ 732 3404  400]
96,-0.50390625,0.359375,96,27,[ 732 3404  400]
97,-0.4765625,0.375,97,27,[ 732 3404  400]
98,-0.48046875,0.359375,98,27,[ 732 3404  400]
99,-0.45703125,0.34765625,99,27,[ 732 3404  400]
