,real,imaginary,key_subcarriers_80_35,key_antennas_80_35,key_user_position
0,-0.703125,0.4140625,0,35,[-812 1780  400]
1,-0.71875,0.4296875,1,35,[-812 1780  400]
2,-0.68359375,0.453125,2,35,[-812 1780  400]
3,-0.703125,0.48046875,3,35,[-812 1780  400]
4,-0.69140625,0.515625,4,35,[-812 1780  400]
5,-0.67578125,0.51953125,5,35,[-812 1780  400]
6,-0.66796875,0.546875,6,35,[-812 1780  400]
7,-0.66796875,0.546875,7,35,[-812 1780  400]
8,-0.67578125,0.55078125,8,35,[-812 1780  400]
9,-0.6640625,0.59765625,9,35,[-812 1780  400]
10,-0.62890625,0.57421875,10,35,[-812 1780  400]
11,-0.64453125,0.6015625,11,35,[-812 1780  400]
12,-0.63671875,0.58984375,12,35,[-812 1780  400]
13,-0.64453125,0.6015625,13,35,[-812 1780  400]
14,-0.62890625,0.609375,14,35,[-812 1780  400]
15,-0.6171875,0.59765625,15,35,[-812 1780  400]
16,-0.6171875,0.6171875,16,35,[-812 1780  400]
17,-0.625,0.61328125,17,35,[-812 1780  400]
18,-0.62890625,0.609375,18,35,[-812 1780  400]
19,-0.625,0.58984375,19,35,[-812 1780  400]
20,-0.6171875,0.5859375,20,35,[-812 1780  400]
21,-0.6171875,0.59765625,21,35,[-812 1780  400]
22,-0.625,0.58984375,22,35,[-812 1780  400]
23,-0.62890625,0.57421875,23,35,[-812 1780  400]
24,-0.62890625,0.5625,24,35,[-812 1780  400]
25,-0.64453125,0.55859375,25,35,[-812 1780  400]
26,-0.65234375,0.5625,26,35,[-812 1780  400]
27,-0.67578125,0.55078125,27,35,[-812 1780  400]
28,-0.65625,0.546875,28,35,[-812 1780  400]
29,-0.66796875,0.53515625,29,35,[-812 1780  400]
30,-0.65625,0.515625,30,35,[-812 1780  400]
31,-0.6640625,0.53125,31,35,[-812 1780  400]
32,-0.66796875,0.515625,32,35,[-812 1780  400]
33,-0.69140625,0.50390625,33,35,[-812 1780  400]
34,-0.6953125,0.5078125,34,35,[-812 1780  400]
