,real,imaginary,key_subcarriers_93_34,key_antennas_93_34,key_user_position
0,1.36328125,0.0625,0,34,[ 732 1780  400]
1,1.390625,0.0234375,1,34,[ 732 1780  400]
2,1.38671875,-0.05078125,2,34,[ 732 1780  400]
3,1.4140625,-0.12109375,3,34,[ 732 1780  400]
4,1.3984375,-0.203125,4,34,[ 732 1780  400]
5,1.41796875,-0.23828125,5,34,[ 732 1780  400]
6,1.44140625,-0.3046875,6,34,[ 732 1780  400]
7,1.4296875,-0.32421875,7,34,[ 732 1780  400]
8,1.4375,-0.38671875,8,34,[ 732 1780  400]
9,1.390625,-0.44140625,9,34,[ 732 1780  400]
10,1.38671875,-0.45703125,10,34,[ 732 1780  400]
11,1.40234375,-0.5078125,11,34,[ 732 1780  400]
12,1.375,-0.546875,12,34,[ 732 1780  400]
13,1.3828125,-0.5625,13,34,[ 732 1780  400]
14,1.3515625,-0.6015625,14,34,[ 732 1780  400]
15,1.3359375,-0.6171875,15,34,[ 732 1780  400]
16,1.32421875,-0.640625,16,34,[ 732 1780  400]
17,1.30859375,-0.66796875,17,34,[ 732 1780  400]
18,1.296875,-0.65625,18,34,[ 732 1780  400]
19,1.296875,-0.65625,19,34,[ 732 1780  400]
20,1.3046875,-0.68359375,20,34,[ 732 1780  400]
21,1.265625,-0.7109375,21,34,[ 732 1780  400]
22,1.27734375,-0.7109375,22,34,[ 732 1780  400]
23,1.2890625,-0.74609375,23,34,[ 732 1780  400]
24,1.25390625,-0.734375,24,34,[ 732 1780  400]
25,1.265625,-0.74609375,25,34,[ 732 1780  400]
26,1.27734375,-0.74609375,26,34,[ 732 1780  400]
27,1.2421875,-0.7578125,27,34,[ 732 1780  400]
28,1.2578125,-0.7734375,28,34,[ 732 1780  400]
29,1.23046875,-0.80078125,29,34,[ 732 1780  400]
30,1.23046875,-0.7890625,30,34,[ 732 1780  400]
31,1.23046875,-0.8125,31,34,[ 732 1780  400]
32,1.23828125,-0.78515625,32,34,[ 732 1780  400]
33,1.25,-0.796875,33,34,[ 732 1780  400]
34,1.2421875,-0.82421875,34,34,[ 732 1780  400]
35,1.2109375,-0.8125,35,34,[ 732 1780  400]
36,1.2421875,-0.8359375,36,34,[ 732 1780  400]
37,1.21484375,-0.83984375,37,34,[ 732 1780  400]
38,1.21484375,-0.828125,38,34,[ 732 1780  400]
39,1.22265625,-0.85546875,39,34,[ 732 1780  400]
