,real,imaginary,key_subcarriers_4_9,key_antennas_4_9,key_user_position
0,-0.51953125,-0.34375,0,9,[ 732 3404  400]
1,-0.53515625,-0.34765625,1,9,[ 732 3404  400]
2,-0.55859375,-0.31640625,2,9,[ 732 3404  400]
3,-0.57421875,-0.296875,3,9,[ 732 3404  400]
4,-0.5859375,-0.265625,4,9,[ 732 3404  400]
5,-0.59765625,-0.25390625,5,9,[ 732 3404  400]
6,-0.61328125,-0.2265625,6,9,[ 732 3404  400]
7,-0.609375,-0.2109375,7,9,[ 732 3404  400]
8,-0.625,-0.18359375,8,9,[ 732 3404  400]
9,-0.640625,-0.15625,9,9,[ 732 3404  400]
10,-0.625,-0.13671875,10,9,[ 732 3404  400]
11,-0.625,-0.12890625,11,9,[ 732 3404  400]
12,-0.62890625,-0.09765625,12,9,[ 732 3404  400]
13,-0.63671875,-0.08203125,13,9,[ 732 3404  400]
14,-0.62890625,-0.08984375,14,9,[ 732 3404  400]
15,-0.6171875,-0.0546875,15,9,[ 732 3404  400]
16,-0.609375,-0.0546875,16,9,[ 732 3404  400]
17,-0.6015625,-0.02734375,17,9,[ 732 3404  400]
18,-0.578125,-0.015625,18,9,[ 732 3404  400]
19,-0.6015625,-0.00390625,19,9,[ 732 3404  400]
20,-0.578125,-0.00390625,20,9,[ 732 3404  400]
21,-0.5703125,-0.00390625,21,9,[ 732 3404  400]
22,-0.578125,0.00390625,22,9,[ 732 3404  400]
23,-0.55078125,0.01171875,23,9,[ 732 3404  400]
24,-0.55859375,0.00390625,24,9,[ 732 3404  400]
25,-0.546875,0.02734375,25,9,[ 732 3404  400]
26,-0.546875,0.015625,26,9,[ 732 3404  400]
27,-0.515625,0.015625,27,9,[ 732 3404  400]
28,-0.515625,0.015625,28,9,[ 732 3404  400]
29,-0.50390625,0.015625,29,9,[ 732 3404  400]
30,-0.49609375,0.03125,30,9,[ 732 3404  400]
31,-0.49609375,0.01171875,31,9,[ 732 3404  400]
32,-0.4921875,-0.00390625,32,9,[ 732 3404  400]
33,-0.46484375,-0.01171875,33,9,[ 732 3404  400]
34,-0.48046875,-0.015625,34,9,[ 732 3404  400]
35,-0.46484375,-0.0234375,35,9,[ 732 3404  400]
36,-0.4765625,-0.0234375,36,9,[ 732 3404  400]
