,real,imaginary,key_subcarriers_168_8,key_antennas_168_8,key_user_position
0,0.1171875,0.25,0,8,[ 732 1780  400]
1,0.1328125,0.25390625,1,8,[ 732 1780  400]
2,0.1328125,0.25390625,2,8,[ 732 1780  400]
3,0.12109375,0.2421875,3,8,[ 732 1780  400]
4,0.12890625,0.26953125,4,8,[ 732 1780  400]
5,0.1484375,0.23828125,5,8,[ 732 1780  400]
6,0.1484375,0.25,6,8,[ 732 1780  400]
7,0.1328125,0.25390625,7,8,[ 732 1780  400]
8,0.15625,0.27734375,8,8,[ 732 1780  400]
9,0.13671875,0.2578125,9,8,[ 732 1780  400]
10,0.171875,0.26953125,10,8,[ 732 1780  400]
11,0.15625,0.265625,11,8,[ 732 1780  400]
12,0.1640625,0.27734375,12,8,[ 732 1780  400]
13,0.15625,0.27734375,13,8,[ 732 1780  400]
14,0.171875,0.26953125,14,8,[ 732 1780  400]
15,0.1640625,0.27734375,15,8,[ 732 1780  400]
16,0.16015625,0.29296875,16,8,[ 732 1780  400]
17,0.16015625,0.31640625,17,8,[ 732 1780  400]
18,0.18359375,0.3046875,18,8,[ 732 1780  400]
19,0.18359375,0.31640625,19,8,[ 732 1780  400]
20,0.17578125,0.30859375,20,8,[ 732 1780  400]
21,0.18359375,0.32421875,21,8,[ 732 1780  400]
22,0.203125,0.32421875,22,8,[ 732 1780  400]
23,0.1875,0.34375,23,8,[ 732 1780  400]
24,0.19140625,0.34765625,24,8,[ 732 1780  400]
25,0.203125,0.34765625,25,8,[ 732 1780  400]
26,0.203125,0.34765625,26,8,[ 732 1780  400]
27,0.21484375,0.37109375,27,8,[ 732 1780  400]
28,0.203125,0.37109375,28,8,[ 732 1780  400]
29,0.2109375,0.375,29,8,[ 732 1780  400]
30,0.2109375,0.35546875,30,8,[ 732 1780  400]
31,0.2265625,0.3828125,31,8,[ 732 1780  400]
32,0.23046875,0.3984375,32,8,[ 732 1780  400]
33,0.23046875,0.375,33,8,[ 732 1780  400]
34,0.2421875,0.41015625,34,8,[ 732 1780  400]
35,0.25390625,0.38671875,35,8,[ 732 1780  400]
36,0.2421875,0.3984375,36,8,[ 732 1780  400]
37,0.25390625,0.3984375,37,8,[ 732 1780  400]
38,0.25390625,0.38671875,38,8,[ 732 1780  400]
39,0.27734375,0.41015625,39,8,[ 732 1780  400]
40,0.25,0.390625,40,8,[ 732 1780  400]
41,0.25,0.40234375,41,8,[ 732 1780  400]
42,0.265625,0.41015625,42,8,[ 732 1780  400]
43,0.28125,0.40234375,43,8,[ 732 1780  400]
44,0.25390625,0.41015625,44,8,[ 732 1780  400]
45,0.26953125,0.4140625,45,8,[ 732 1780  400]
46,0.26953125,0.42578125,46,8,[ 732 1780  400]
47,0.27734375,0.41796875,47,8,[ 732 1780  400]
48,0.2578125,0.4140625,48,8,[ 732 1780  400]
49,0.26953125,0.4140625,49,8,[ 732 1780  400]
50,0.26953125,0.4140625,50,8,[ 732 1780  400]
51,0.2890625,0.41796875,51,8,[ 732 1780  400]
52,0.26953125,0.42578125,52,8,[ 732 1780  400]
53,0.265625,0.41015625,53,8,[ 732 1780  400]
54,0.25,0.42578125,54,8,[ 732 1780  400]
55,0.25,0.4140625,55,8,[ 732 1780  400]
56,0.27734375,0.41796875,56,8,[ 732 1780  400]
57,0.26953125,0.4140625,57,8,[ 732 1780  400]
58,0.25390625,0.41015625,58,8,[ 732 1780  400]
59,0.25,0.4140625,59,8,[ 732 1780  400]
60,0.25,0.40234375,60,8,[ 732 1780  400]
61,0.23046875,0.41015625,61,8,[ 732 1780  400]
62,0.25,0.4140625,62,8,[ 732 1780  400]
63,0.23046875,0.41015625,63,8,[ 732 1780  400]
64,0.25,0.4140625,64,8,[ 732 1780  400]
65,0.22265625,0.41015625,65,8,[ 732 1780  400]
66,0.21484375,0.40234375,66,8,[ 732 1780  400]
67,0.21484375,0.40234375,67,8,[ 732 1780  400]
68,0.22265625,0.41015625,68,8,[ 732 1780  400]
69,0.1875,0.41015625,69,8,[ 732 1780  400]
70,0.19921875,0.3984375,70,8,[ 732 1780  400]
71,0.17578125,0.41796875,71,8,[ 732 1780  400]
72,0.1640625,0.41015625,72,8,[ 732 1780  400]
73,0.16015625,0.40234375,73,8,[ 732 1780  400]
74,0.14453125,0.41015625,74,8,[ 732 1780  400]
75,0.12890625,0.4140625,75,8,[ 732 1780  400]
76,0.13671875,0.4140625,76,8,[ 732 1780  400]
77,0.12109375,0.41796875,77,8,[ 732 1780  400]
78,0.10546875,0.4140625,78,8,[ 732 1780  400]
79,0.09375,0.4375,79,8,[ 732 1780  400]
80,0.0703125,0.42578125,80,8,[ 732 1780  400]
