,real,imaginary,key_subcarriers_116_26,key_antennas_116_26,key_user_position
0,-0.640625,0.0,0,26,[ 732 1780  400]
1,-0.6640625,0.03125,1,26,[ 732 1780  400]
2,-0.6796875,0.05078125,2,26,[ 732 1780  400]
3,-0.6640625,0.078125,3,26,[ 732 1780  400]
4,-0.66796875,0.1171875,4,26,[ 732 1780  400]
5,-0.69140625,0.13671875,5,26,[ 732 1780  400]
6,-0.68359375,0.1328125,6,26,[ 732 1780  400]
7,-0.69140625,0.171875,7,26,[ 732 1780  400]
8,-0.68359375,0.17578125,8,26,[ 732 1780  400]
9,-0.69140625,0.18359375,9,26,[ 732 1780  400]
10,-0.6953125,0.19921875,10,26,[ 732 1780  400]
11,-0.703125,0.2265625,11,26,[ 732 1780  400]
12,-0.69140625,0.2265625,12,26,[ 732 1780  400]
13,-0.6796875,0.2265625,13,26,[ 732 1780  400]
14,-0.68359375,0.2421875,14,26,[ 732 1780  400]
15,-0.6796875,0.23828125,15,26,[ 732 1780  400]
16,-0.65625,0.26953125,16,26,[ 732 1780  400]
17,-0.65234375,0.265625,17,26,[ 732 1780  400]
18,-0.64453125,0.2578125,18,26,[ 732 1780  400]
19,-0.65625,0.26953125,19,26,[ 732 1780  400]
20,-0.64453125,0.28125,20,26,[ 732 1780  400]
21,-0.64453125,0.28125,21,26,[ 732 1780  400]
22,-0.64453125,0.26953125,22,26,[ 732 1780  400]
23,-0.64453125,0.26953125,23,26,[ 732 1780  400]
24,-0.625,0.28125,24,26,[ 732 1780  400]
25,-0.6171875,0.27734375,25,26,[ 732 1780  400]
26,-0.625,0.2578125,26,26,[ 732 1780  400]
27,-0.6171875,0.265625,27,26,[ 732 1780  400]
28,-0.609375,0.265625,28,26,[ 732 1780  400]
29,-0.6171875,0.265625,29,26,[ 732 1780  400]
30,-0.62890625,0.25390625,30,26,[ 732 1780  400]
31,-0.61328125,0.2265625,31,26,[ 732 1780  400]
32,-0.61328125,0.23828125,32,26,[ 732 1780  400]
33,-0.6015625,0.21484375,33,26,[ 732 1780  400]
34,-0.6171875,0.2109375,34,26,[ 732 1780  400]
35,-0.62890625,0.19921875,35,26,[ 732 1780  400]
36,-0.625,0.19140625,36,26,[ 732 1780  400]
37,-0.61328125,0.18359375,37,26,[ 732 1780  400]
38,-0.609375,0.17578125,38,26,[ 732 1780  400]
39,-0.625,0.1484375,39,26,[ 732 1780  400]
40,-0.63671875,0.13671875,40,26,[ 732 1780  400]
41,-0.625,0.12890625,41,26,[ 732 1780  400]
42,-0.640625,0.109375,42,26,[ 732 1780  400]
43,-0.63671875,0.08203125,43,26,[ 732 1780  400]
44,-0.640625,0.09765625,44,26,[ 732 1780  400]
45,-0.65625,0.08203125,45,26,[ 732 1780  400]
46,-0.6640625,0.06640625,46,26,[ 732 1780  400]
47,-0.66796875,0.02734375,47,26,[ 732 1780  400]
48,-0.66796875,0.015625,48,26,[ 732 1780  400]
49,-0.68359375,0.0234375,49,26,[ 732 1780  400]
50,-0.6796875,0.015625,50,26,[ 732 1780  400]
51,-0.69140625,-0.00390625,51,26,[ 732 1780  400]
52,-0.71875,-0.0234375,52,26,[ 732 1780  400]
53,-0.71875,-0.03125,53,26,[ 732 1780  400]
54,-0.734375,-0.0390625,54,26,[ 732 1780  400]
55,-0.74609375,-0.0625,55,26,[ 732 1780  400]
56,-0.734375,-0.09375,56,26,[ 732 1780  400]
57,-0.75,-0.06640625,57,26,[ 732 1780  400]
58,-0.76171875,-0.09765625,58,26,[ 732 1780  400]
59,-0.7734375,-0.1328125,59,26,[ 732 1780  400]
60,-0.81640625,-0.12109375,60,26,[ 732 1780  400]
61,-0.796875,-0.1328125,61,26,[ 732 1780  400]
62,-0.7890625,-0.1484375,62,26,[ 732 1780  400]
63,-0.796875,-0.1640625,63,26,[ 732 1780  400]
64,-0.828125,-0.19921875,64,26,[ 732 1780  400]
65,-0.81640625,-0.19921875,65,26,[ 732 1780  400]
66,-0.828125,-0.19921875,66,26,[ 732 1780  400]
67,-0.82421875,-0.2265625,67,26,[ 732 1780  400]
68,-0.83984375,-0.22265625,68,26,[ 732 1780  400]
69,-0.8671875,-0.2265625,69,26,[ 732 1780  400]
70,-0.83984375,-0.23046875,70,26,[ 732 1780  400]
71,-0.83984375,-0.25390625,71,26,[ 732 1780  400]
72,-0.87890625,-0.28125,72,26,[ 732 1780  400]
73,-0.8671875,-0.28125,73,26,[ 732 1780  400]
74,-0.8828125,-0.27734375,74,26,[ 732 1780  400]
75,-0.8828125,-0.30859375,75,26,[ 732 1780  400]
76,-0.8828125,-0.33203125,76,26,[ 732 1780  400]
77,-0.8828125,-0.33203125,77,26,[ 732 1780  400]
78,-0.89453125,-0.33203125,78,26,[ 732 1780  400]
79,-0.91015625,-0.359375,79,26,[ 732 1780  400]
80,-0.91796875,-0.36328125,80,26,[ 732 1780  400]
81,-0.9296875,-0.3984375,81,26,[ 732 1780  400]
82,-0.9375,-0.36328125,82,26,[ 732 1780  400]
83,-0.921875,-0.40234375,83,26,[ 732 1780  400]
84,-0.9375,-0.3984375,84,26,[ 732 1780  400]
85,-0.95703125,-0.4140625,85,26,[ 732 1780  400]
86,-0.94921875,-0.4296875,86,26,[ 732 1780  400]
87,-0.9375,-0.41796875,87,26,[ 732 1780  400]
88,-0.94921875,-0.4296875,88,26,[ 732 1780  400]
89,-0.94921875,-0.4765625,89,26,[ 732 1780  400]
90,-0.9609375,-0.46484375,90,26,[ 732 1780  400]
91,-0.984375,-0.46484375,91,26,[ 732 1780  400]
92,-0.97265625,-0.484375,92,26,[ 732 1780  400]
93,-0.98828125,-0.48046875,93,26,[ 732 1780  400]
94,-1.01171875,-0.4921875,94,26,[ 732 1780  400]
95,-1.0,-0.45703125,95,26,[ 732 1780  400]
96,-0.98828125,-0.48046875,96,26,[ 732 1780  400]
97,-1.0,-0.48046875,97,26,[ 732 1780  400]
98,-0.99609375,-0.4765625,98,26,[ 732 1780  400]
99,-1.03125,-0.45703125,99,26,[ 732 1780  400]
