c,cpu_limit,cpu_usage,lat100_ms,lat50_ms,lat66_ms,lat75_ms,lat80_ms,lat90_ms,lat95_ms,lat98_ms,lat99_ms,n,ram_limit_mb,ram_usage_mb,t_norm,sin_day,cos_day,is_gap,time_since_last_obs,time_to_next_obs
31.0,2.0,0.0147128,9752.0,8769.0,8891.0,8964.0,9023.0,9205.0,9378.0,9534.0,9595.0,200.0,384.0,31.55968,0.002136183,0.4365401,-0.8996848,0.0,0.0,0.0
41.0,2.0,0.01570835,12730.0,11288.0,11601.0,11725.0,11803.0,12039.0,12159.0,12511.0,12618.0,200.0,1024.0,32.16589,0.002427709,0.43274146,-0.90151805,0.0,0.0,0.0
41.0,2.0,0.01573281,12937.0,11440.0,11628.0,11746.0,11824.0,12033.0,12256.0,12436.0,12523.0,200.0,128.0,32.301056,0.0024327354,0.4326759,-0.9015495,0.0,0.0,0.0
41.0,2.0,0.01566045,13180.0,11395.0,11639.0,11800.0,11890.0,12079.0,12287.0,12810.0,13036.0,200.0,896.0,31.502337,0.0024377618,0.43261033,-0.901581,0.0,0.0,0.0
41.0,2.0,0.01590867,12886.0,11387.0,11590.0,11703.0,11789.0,11984.0,12079.0,12203.0,12836.0,200.0,256.0,32.231422,0.0024528406,0.43241364,-0.90167534,0.0,0.0,0.0
41.0,2.0,0.01572824,14296.0,11527.0,11808.0,12013.0,12342.0,13704.0,13972.0,14155.0,14200.0,200.0,384.0,33.60768,0.0024829984,0.43202016,-0.90186393,0.0,0.0,0.0
51.0,2.0,0.01672611,17710.0,14719.0,15304.0,15812.0,15946.0,16146.0,16332.0,16923.0,17419.0,200.0,1024.0,33.345535,0.0027745247,0.42821237,-0.9036781,0.0,0.0,0.0
51.0,2.0,0.01695557,17776.0,14748.0,15219.0,15655.0,15855.0,16281.0,16543.0,17129.0,17662.0,200.0,640.0,32.82944,0.0027795509,0.42814666,-0.9037093,0.0,0.0,0.0
51.0,2.0,0.01698054,17518.0,14688.0,15066.0,15355.0,15473.0,16123.0,16333.0,17063.0,17370.0,200.0,896.0,32.653313,0.0027845772,0.42808095,-0.9037404,0.0,0.0,0.0
51.0,2.0,0.01716346,16878.0,14859.0,15035.0,15125.0,15238.0,15727.0,16264.0,16615.0,16740.0,200.0,256.0,32.91955,0.0028046826,0.42781803,-0.90386486,0.0,0.0,0.0
51.0,2.0,0.01692263,17887.0,14862.0,15208.0,15912.0,16710.0,17392.0,17615.0,17846.0,17883.0,200.0,384.0,33.284096,0.002844893,0.4272921,-0.90411365,0.0,0.0,0.0
1.0,2.0,0.01709177,226.0,139.99902,148.0,153.0,157.0,169.0,177.0,192.00098,210.00098,300.0,768.0,29.954048,0.003035893,0.42479202,-0.90529096,0.0,0.0,0.0
1.0,2.0,0.01693472,210.0,140.99902,148.99902,155.00098,158.00098,166.0,173.0,193.0,195.0,300.0,128.0,33.34144,0.0030409193,0.4247262,-0.90532184,0.0,0.0,0.0
1.0,2.0,0.01677695,213.0,145.0,153.0,158.0,161.0,169.0,176.0,189.0,203.99902,300.0,1024.0,30.539776,0.0030459454,0.42466035,-0.9053527,0.0,0.0,0.0
1.0,2.0,0.01695557,218.0,150.0,157.0,162.00098,164.0,175.0,184.0,192.00098,209.0,300.0,640.0,29.814783,0.0030509718,0.42459452,-0.90538365,0.0,0.0,0.0
1.0,2.0,0.01698054,217.0,150.0,156.00098,163.0,166.0,178.0,188.0,199.0,211.0,300.0,896.0,30.134272,0.0030559981,0.42452866,-0.9054145,0.0,0.0,0.0
1.0,2.0,0.01718696,210.0,147.0,154.0,159.0,162.0,172.0,181.0,202.0,205.99902,300.0,256.0,32.78848,0.0030761035,0.42426527,-0.90553796,0.0,0.0,0.0
1.0,2.0,0.01699879,210.0,143.99902,154.0,159.0,162.99902,169.0,177.0,187.00098,198.0,300.0,384.0,32.58368,0.0031112875,0.42380425,-0.9057538,0.0,0.0,0.0
11.0,2.0,0.01599442,3744.0,3011.9995,3083.0,3142.0,3180.0005,3285.001,3395.0,3548.0,3609.001,300.0,768.0,31.27296,0.00350334,0.41865975,-0.90814316,0.0,0.0,0.0
11.0,2.0,0.01635182,3675.0,3025.0005,3126.0005,3171.0005,3193.999,3294.0005,3454.9995,3570.0,3636.0,300.0,128.0,31.076351,0.0035083664,0.4185937,-0.9081736,0.0,0.0,0.0
11.0,2.0,0.0155505,3671.0,3001.0005,3097.0,3152.0,3193.0005,3294.0005,3384.0,3536.0,3618.0,300.0,1024.0,32.104446,0.0035133925,0.41852766,-0.9082041,0.0,0.0,0.0
11.0,2.0,0.01615637,3386.0,3010.0,3092.0005,3128.0005,3158.001,3226.0,3255.999,3296.0,3306.001,300.0,512.0,31.00672,0.0035184189,0.4184616,-0.9082345,0.0,0.0,0.0
11.0,2.0,0.01613981,3397.0,3028.001,3133.0,3178.9995,3195.0005,3250.9995,3311.0,3367.0,3380.001,300.0,896.0,30.37184,0.0035234452,0.41839555,-0.90826494,0.0,0.0,0.0
11.0,2.0,0.01539489,3645.001,3003.0,3077.0,3125.9995,3176.0005,3284.0005,3361.9995,3562.001,3603.0,300.0,256.0,30.846975,0.0035435504,0.41813132,-0.9083866,0.0,0.0,0.0
11.0,2.0,0.01668154,3903.0,3014.0005,3108.9995,3201.0,3244.0,3450.0,3690.9995,3770.0,3859.0,300.0,384.0,31.690752,0.003583761,0.41760278,-0.9086297,0.0,0.0,0.0
21.0,2.0,0.01616448,6810.0,5715.0,5821.0005,5913.0,5964.0,6159.9995,6338.9995,6541.9995,6652.0,300.0,768.0,31.023104,0.0039657606,0.41257456,-0.91092384,0.0,0.0,0.0
21.0,2.0,0.01611634,6728.0,5710.0005,5868.0,5950.0,5984.0,6188.0,6302.0,6460.0005,6622.0,300.0,1024.0,32.251904,0.0039758133,0.41244206,-0.91098386,0.0,0.0,0.0
21.0,2.0,0.01591693,6515.0,5730.9995,5856.0,5924.0005,5976.9995,6102.0,6217.0,6334.0,6341.0,300.0,512.0,30.949375,0.0039808396,0.4123758,-0.91101384,0.0,0.0,0.0
21.0,2.0,0.01588708,6667.0005,5762.0,5879.0,5952.0,5994.0,6119.9995,6227.9995,6357.0,6457.0,300.0,896.0,30.994432,0.0039908923,0.4122433,-0.9110738,0.0,0.0,0.0
21.0,2.0,0.01581338,7488.0,5694.0,5801.0,5884.0,5955.0,6165.0,6797.9995,7230.0,7299.9995,300.0,256.0,31.653889,0.0040109977,0.41197824,-0.91119367,0.0,0.0,0.0
21.0,2.0,0.01608327,9202.0,5771.0,5951.0005,6082.0,6157.0,7167.0,8243.0,8803.0,8898.0,300.0,384.0,31.055872,0.004066287,0.41124922,-0.9115229,0.0,0.0,0.0
31.0,2.0,0.01616448,10776.0,8432.0,8572.0,8687.0,8764.0,9769.0,10034.0,10438.0,10677.0,300.0,768.0,32.104446,0.0044332077,0.40640444,-0.9136933,0.0,0.0,0.0
31.0,2.0,0.01754179,10069.0,8424.0,8549.0,8641.0,8729.0,9051.0,9317.0,9895.0,9957.0,300.0,1024.0,33.312767,0.0044432604,0.40627155,-0.9137524,0.0,0.0,0.0
31.0,2.0,0.01672926,9904.0,8480.0,8659.0,8772.0,8868.0,9198.0,9397.0,9618.0,9682.0,300.0,640.0,31.346687,0.0044482867,0.4062051,-0.91378194,0.0,0.0,0.0
31.0,2.0,0.01690665,9658.0,8421.0,8564.0,8658.0,8707.0,8878.0,9025.0,9362.0,9609.0,300.0,896.0,32.579582,0.004453313,0.40613863,-0.91381145,0.0,0.0,0.0
31.0,2.0,0.01654368,9274.0,8426.0,8531.0,8618.0,8690.0,8794.0,8889.0,9053.0,9169.0,300.0,256.0,31.739904,0.004483471,0.40573987,-0.9139886,0.0,0.0,0.0
31.0,2.0,0.01766179,11261.0,8548.0,8716.0,8870.0,9040.0,10344.0,10786.0,11023.0,11147.0,300.0,384.0,31.760384,0.004543787,0.40494213,-0.91434234,0.0,0.0,0.0
41.0,2.0,0.01780577,13017.0,11523.0,11754.0,11896.0,11955.0,12147.0,12330.0,12514.0,12626.0,300.0,1024.0,33.214462,0.004915734,0.4000158,-0.91650826,0.0,0.0,0.0
41.0,2.0,0.01817288,12768.0,11557.0,11743.0,11919.0,12000.0,12195.0,12376.0,12524.0,12719.0,300.0,512.0,32.31744,0.00492076,0.39994916,-0.91653734,0.0,0.0,0.0
41.0,2.0,0.01799359,13001.0,11771.0,11941.0,12069.0,12135.0,12346.0,12502.0,12679.0,12852.0,300.0,128.0,33.53395,0.0049257865,0.3998825,-0.91656643,0.0,0.0,0.0
41.0,2.0,0.017688468,13004.0,11698.0,11911.0,12049.0,12126.0,12336.0,12584.0,12801.0,12856.0,300.0,640.0,32.428032,0.004930813,0.39981586,-0.91659546,0.0,0.0,0.0
41.0,2.0,0.01815343,13341.0,11626.0,11859.0,11981.0,12064.0,12234.0,12549.0,12732.0,12861.0,300.0,896.0,32.78029,0.004935839,0.3997492,-0.91662455,0.0,0.0,0.0
41.0,2.0,0.017821409,13064.0,11613.0,11858.0,11995.0,12074.0,12330.0,12684.0,12812.0,12913.0,300.0,256.0,32.600063,0.004971023,0.39928252,-0.9168279,0.0,0.0,0.0
