time,cpu_limit,cpu_usage,n,ram_limit_mb,ram_usage_mb,mean_ms,lat50_ms,lat75_ms,lat80_ms,lat90_ms,lat95_ms,lat98_ms,lat99_ms,lat100_ms,t_norm,sin_day,cos_day,sin_hour,cos_hour,is_gap,time_since_last_obs,time_to_next_obs
1637937234.0,3.0,0.9763271428571428,435.7142857142857,3584.0,963.6033097142857,44897.221,44911.927142857145,45073.62157142857,45105.387571428575,45182.152714285716,45229.12642857143,45254.77828571429,45258.985857142856,45273.628142857146,0.1803411860276198,-0.6221731001502837,-0.782879705605775,-0.3971478905130839,-0.917754625736644,1.0,2.0,5.0
1637937250.0,3.0,0.9801777142857143,438.57142857142856,3584.0,970.5945965714286,45766.036,45777.144714285714,45945.20285714286,45976.97685714286,46055.489571428574,46096.65414285714,46120.18142857143,46125.614285714284,46139.08771428571,0.1807473598700243,-0.623083600691223,-0.7821552445324781,-0.4226182618465011,-0.9063077869873138,1.0,3.0,4.0
1637937266.0,3.0,0.9840282857142857,441.42857142857144,3584.0,977.5858834285714,46634.851,46642.362285714284,46816.78414285714,46848.56614285715,46928.826428571425,46964.18185714286,46985.584571428575,46992.24271428571,47004.54728571429,0.1811535337124289,-0.6239932576445205,-0.7814297245524892,-0.4477590873333567,-0.8941542370924601,1.0,4.0,3.0
1637937282.0,3.0,0.9878788571428572,444.2857142857143,3584.0,984.5771702857143,47503.666000000005,47507.57985714285,47688.36542857143,47720.15542857143,47802.16328571428,47831.709571428575,47850.987714285715,47858.87114285714,47870.00685714286,0.1815597075548334,-0.6249020698241388,-0.7807031466117625,-0.4725507645906507,-0.8813034522142708,1.0,5.0,2.0
1637937298.0,3.0,0.9917294285714285,447.14285714285717,3584.0,991.5684571428571,48372.481,48372.79742857143,48559.94671428572,48591.74471428571,48675.50014285714,48699.237285714284,48716.39085714286,48725.49957142857,48735.466428571424,0.181965881397238,-0.6258100359655642,-0.7799755117212203,-0.496973960969799,-0.8677654534020058,1.0,6.0,1.0
1637937314.0,3.0,0.99558,450.0,3584.0,998.559744,49241.296,49238.015,49431.528,49463.334,49548.837,49566.765,49581.794,49592.128,49600.926,0.1823720552396425,-0.6267171548395737,-0.779246820866014,-0.5210096315991265,-0.853550797422709,0.0,0.0,0.0
1637937330.0,3.0,1.00635175,452.5,3584.0,1004.623872,49491.0115,49488.02975,49690.076,49724.90425,49796.66275,49816.87725,49831.306,49842.28049999999,49851.54875,0.1827782290820471,-0.6276234252520787,-0.778517075005326,-0.5446390349869022,-0.8386705679636886,1.0,1.0,3.0
1637937346.0,3.0,1.0171235,455.0,3584.0,1010.688,49740.727,49738.0445,49948.623999999996,49986.4745,50044.4885,50066.989499999996,50080.818,50092.433,50102.1715,0.1831844029244516,-0.6285288459307834,-0.7777862751636323,-0.567843744847437,-0.8231363686763201,1.0,2.0,2.0
1637937362.0,3.0,1.02789525,457.5,3584.0,1016.752128,49990.442500000005,49988.05925,50207.172,50248.04475,50292.314249999996,50317.10175,50330.33,50342.5855,50352.79425,0.1835905767668562,-0.6294334156951737,-0.7770544222937713,-0.5906056676195118,-0.8069603121441046,1.0,3.0,1.0
1637937378.0,3.0,1.038667,460.0,3584.0,1022.816256,50240.158,50238.074,50465.72,50509.615,50540.14,50567.214,50579.842,50592.738,50603.417,0.1839967506092607,-0.6303371332753418,-0.776321517423177,-0.6129070534816458,-0.7901550125085881,0.0,0.0,0.0
1637937394.0,3.0,1.0978585,462.5,3584.0,1029.796864,51386.96775,51382.29725,51598.765,51645.24875,51685.51425,51711.222,51728.292499999996,51738.89025,51752.60375,0.1844029244516653,-0.6312399974929939,-0.7755875615074322,-0.6347305132273893,-0.7727335734767159,1.0,1.0,3.0
1637937410.0,3.0,1.15705,465.0,3584.0,1036.777472,52533.7775,52526.5205,52731.81,52780.8825,52830.8885,52855.229999999996,52876.743,52885.042499999996,52901.7905,0.1848090982940698,-0.6321420070806164,-0.7748525555769239,-0.6560590288517847,-0.7547095803433617,1.0,2.0,2.0
1637937426.0,3.0,1.2162415,467.5,3584.0,1043.7580799999998,53680.58725,53670.743749999994,53864.855,53916.51625,53976.26275,53999.238,54025.1935,54031.19475,54050.977249999996,0.1852152721364744,-0.6330431608621429,-0.7741165005899739,-0.6768759697308991,-0.7360970870753768,1.0,3.0,1.0
1637937442.0,3.0,1.275433,470.0,3584.0,1050.738688,54827.397,54814.967,54997.9,55052.15,55121.637,55143.246,55173.644,55177.347,55200.164,0.1856214459788789,-0.6339434575724606,-0.773379397579916,-0.6971651027464639,-0.716910607755606,0.0,0.0,0.0
1637937458.0,3.0,1.2682475,472.5,3584.0,1057.1929599999999,55414.587999999996,55404.093499999995,55585.19475,55635.9775,55705.056500000006,55727.437,55753.832500000004,55757.675,55778.765,0.1860276198212835,-0.6348428960264931,-0.7726412475170448,-0.716910607719192,-0.6971651027839093,1.0,1.0,3.0
1637937474.0,3.0,1.261062,475.0,3584.0,1063.6472319999998,56001.778999999995,55993.22,56172.489499999996,56219.805,56288.476,56311.628,56334.021,56338.003,56357.365999999995,0.186433793663688,-0.6357414749840337,-0.7719020514191715,-0.7360970870400225,-0.6768759697693466,1.0,2.0,2.0
1637937490.0,3.0,1.2538765,477.5,3584.0,1070.101504,56588.97,56582.3465,56759.78425,56803.6325,56871.8955,56895.819,56914.2095,56918.331,56935.967,0.1868399675060926,-0.6366391932622344,-0.771161810259307,-0.7547095803090947,-0.6560590288912043,1.0,3.0,1.0
1637937506.0,3.0,1.246691,480.0,3584.0,1076.555776,57176.161,57171.473,57347.079,57387.46,57455.315,57480.01,57494.398,57498.659,57514.568,0.1872461413484971,-0.6375360496008058,-0.7704205250766615,-0.7727335731479935,-0.6347305136275824,0.0,0.0,0.0
1637937522.0,3.0,1.2319546,482.0,3584.0,1082.2025216,57518.4712,57518.477999999996,57691.7808,57726.9756,57797.6264,57828.7686,57845.778,57849.9966,57863.6246,0.1876523151909017,-0.6384320428304004,-0.7696781968377444,-0.790155012191168,-0.6129070538908613,1.0,1.0,4.0
1637937538.0,3.0,1.2172182,484.0,3584.0,1087.8492672,57860.7814,57865.483,58036.4826,58066.4912,58139.9378,58177.527200000004,58197.158,58201.3342,58212.6812,0.1880584890333062,-0.6393271717155296,-0.7689348265660892,-0.8069603121132564,-0.5906056676616606,1.0,2.0,3.0
1637937554.0,3.0,1.2024818,486.0,3584.0,1093.4960128,58203.0916,58212.488,58381.1844,58406.0068,58482.249200000006,58526.2858,58548.538,58552.671800000004,58561.7378,0.1884646628757108,-0.640221435021961,-0.7681904152867445,-0.8231363683822379,-0.5678437452737335,1.0,3.0,2.0
1637937570.0,3.0,1.1877454,488.0,3584.0,1099.1427584,58545.4018,58559.493,58725.8862,58745.5224,58824.560600000004,58875.0444,58899.918000000005,58904.0094,58910.7944,0.1888708367181153,-0.6411148315725604,-0.7674449639796247,-0.8386705679352412,-0.5446390350307073,1.0,4.0,1.0
1637937586.0,3.0,1.173009,490.0,3584.0,1104.789504,58887.712,58906.498,59070.588,59085.038,59166.872,59223.803,59251.298,59255.347,59259.851,0.1892770105605199,-0.6420073601466088,-0.7666984736632665,-0.8535507971528818,-0.5210096320411743,0.0,0.0,0.0
1637937602.0,3.0,1.12780525,492.5,3584.0,1111.865344,59931.36425,59939.5255,60123.40125,60140.61125,60227.8805,60286.63375,60307.738750000004,60311.7875,60319.42775,0.1896831844029244,-0.6428990195357518,-0.7659509453483094,-0.867765453376048,-0.4969739610151237,1.0,1.0,3.0
1637937618.0,3.0,1.0826015,495.0,3584.0,1118.941184,60975.0165,60972.553,61176.2145,61196.1845,61288.889,61349.4645,61364.1795,61368.228,61379.0045,0.190089358245329,-0.6437898085216768,-0.765202380056167,-0.8813034519695401,-0.4725507650470714,1.0,2.0,2.0
1637937634.0,3.0,1.03739775,497.5,3584.0,1126.017024,62018.668750000004,62005.5805,62229.02775,62251.75775,62349.89750000001,62412.295249999996,62420.62025,62424.6685,62438.58125,0.1904955320877335,-0.64467972593179,-0.764452778772183,-0.8941542368605689,-0.4477590877964327,1.0,3.0,1.0
1637937650.0,3.0,0.992194,500.0,3584.0,1133.092864,63062.321,63038.608,63281.841,63307.331,63410.906,63475.126,63477.061,63481.109,63498.158,0.1909017059301381,-0.6455687705167535,-0.763702142548708,-0.9063077869652398,-0.4226182618938389,0.0,0.0,0.0
1637937666.0,3.0,1.0375548,502.0,3584.0,1138.7748351999999,63399.5118,63380.0946,63607.5464,63639.641599999995,63735.224,63796.012599999995,63801.171800000004,63804.6058,63821.11,0.1913078797725426,-0.6464569411174049,-0.7629504723644439,-0.9177546257159004,-0.3971478905610196,1.0,1.0,4.0
1637937682.0,3.0,1.0829156,504.0,3584.0,1144.4568064,63736.702600000004,63721.5812,63933.2518,63971.9522,64059.542,64116.8992,64125.2826,64128.1026,64144.062,0.1917140536149472,-0.6473442364868586,-0.7621977692746458,-0.9284858268304268,-0.3713678356764608,1.0,2.0,3.0
1637937698.0,3.0,1.1282764,506.0,3584.0,1150.1387776,64073.8934,64063.0678,64258.957200000004,64304.2628,64383.86,64437.7858,64449.3934,64451.5994,64467.014,0.1921202274573517,-0.6482306554682328,-0.7614440342607101,-0.9384930227987106,-0.3452981988921154,1.0,3.0,2.0
1637937714.0,3.0,1.1736372,508.0,3584.0,1155.8207488,64411.084200000005,64404.5544,64584.6626,64636.5734,64708.178,64758.6724,64773.504199999996,64775.0962,64789.966,0.1925264012997563,-0.6491161968171009,-0.7606892683807908,-0.9477684099767566,-0.3189593093956197,1.0,4.0,1.0
1637937730.0,3.0,1.218998,510.0,3584.0,1161.50272,64748.275,64746.041,64910.368,64968.884,65032.496,65079.559,65097.615,65098.593,65112.918,0.1929325751421608,-0.6500008593678098,-0.7599334726284327,-0.9563047560058434,-0.2923717045827181,0.0,0.0,0.0
1637937746.0,3.0,1.1896954,512.0,3584.0,1167.6229632,65537.7878,65529.938599999994,65712.802,65763.8414,65831.42079999999,65873.2914,65891.4672,65893.23760000001,65906.3464,0.1933387489845654,-0.650884641911574,-0.7591766480363065,-0.9640954040918878,-0.265556118003144,1.0,1.0,4.0
1637937762.0,3.0,1.1603928,514.0,3584.0,1173.7432064,66327.3006,66313.83619999999,66515.236,66558.7988,66630.3456,66667.0238,66685.31940000001,66687.88220000001,66699.7748,0.1937449228269699,-0.6517675432518804,-0.7584187956290431,-0.9711342798413624,-0.2385334578565413,1.0,2.0,3.0
1637937778.0,3.0,1.1310902,516.0,3584.0,1179.8634496,67116.8134,67097.7338,67317.67,67353.7562,67429.2704,67460.7562,67479.1716,67482.5268,67493.2032,0.1941510966693745,-0.6526495621823827,-0.7576599164421622,-0.9774158941798964,-0.211324796946581,1.0,3.0,2.0
1637937794.0,3.0,1.1017876,518.0,3584.0,1185.9836928,67906.32620000001,67881.6314,68120.104,68148.7136,68228.1952,68254.48860000001,68273.0238,68277.1714,68286.6316,0.194557270511779,-0.6535306975420315,-0.7569000114745843,-0.9829353491029778,-0.1839513508615993,1.0,4.0,1.0
1637937810.0,3.0,1.072485,520.0,3584.0,1192.103936,68695.839,68665.529,68922.538,68943.671,69027.12,69048.221,69066.876,69071.816,69080.06,0.1949634443541835,-0.6544109481158243,-0.7561390817740794,-0.9876883405945344,-0.1564344650440413,0.0,0.0,0.0
1637937826.0,3.0,1.0504908,522.0,3584.0,1198.2299136,69326.125,69296.7038,69553.3378,69575.1842,69659.68819999999,69681.06940000001,69699.4682,69704.0806,69714.9202,0.1953696181965881,-0.6552903126900452,-0.7553771283899074,-0.9916711623547324,-0.1287955967959063,1.0,1.0,4.0
1637937842.0,3.0,1.0284966,524.0,3584.0,1204.3558911999999,69956.41100000001,69927.8786,70184.1376,70206.6974,70292.2564,70313.91780000001,70332.0604,70336.3452,70349.7804,0.1957757920389927,-0.6561687901071717,-0.7546141523250743,-0.9948807088317354,-0.1010562971539311,1.0,2.0,3.0
1637937858.0,3.0,1.0065024,526.0,3584.0,1210.4818688,70586.697,70559.0534,70814.9374,70838.21059999999,70924.82459999999,70946.7662,70964.6526,70968.6098,70984.6406,0.1961819658813972,-0.6570463791668693,-0.753850154622062,-0.9973144772107512,-0.0732381973142839,1.0,3.0,2.0
1637937874.0,3.0,0.9845081999999999,528.0,3584.0,1216.6078464,71216.98300000001,71190.2282,71445.7372,71469.72379999999,71557.3928,71579.6146,71597.2448,71600.8744,71619.50080000001,0.1965881397238018,-0.6579230786810099,-0.7530851363152122,-0.9989705697935356,-0.0453629880671307,1.0,4.0,1.0
1637937890.0,3.0,0.962514,530.0,3584.0,1222.733824,71847.269,71821.403,72076.537,72101.237,72189.961,72212.463,72229.837,72233.139,72254.361,0.1969943135662063,-0.6587988874517214,-0.752319098449836,-0.9998476951537012,-0.0174524065913923,0.0,0.0,0.0
1637937906.0,3.0,0.9466974561403508,521.0526315789474,3579.5087719298244,1228.9466655438596,70596.82149122807,70571.50105263159,70822.2527368421,70846.51940350876,70933.69501754385,70955.82607017545,70972.8952631579,70976.13933333333,70996.98957894737,0.1974004874086108,-0.6596738043261291,-0.7515520420342773,-0.9999451693645152,0.0104717842114502,1.0,1.0,56.0
1637937922.0,3.0,0.9308809122807017,512.1052631578947,3575.0175438596493,1235.1595070877192,69346.37398245613,69321.59910526316,69567.9684736842,69591.80180701753,69677.42903508771,69699.18914035088,69715.95352631579,69719.13966666666,69739.61815789474,0.1978066612510154,-0.6605478280759537,-0.7507839681453915,-0.9992629164152704,0.0383878089664994,1.0,2.0,55.0
1637937938.0,3.0,0.9150643684210527,503.1578947368421,3570.5263157894738,1241.372348631579,68095.92647368422,68071.69715789474,68313.6842105263,68337.08421052631,68421.16305263157,68442.55221052632,68459.01178947369,68462.14,68482.2467368421,0.1982128350934199,-0.6614209575616177,-0.7500148777846162,-0.9978014682835517,0.0662739005279504,1.0,3.0,54.0
1637937954.0,3.0,0.8992478245614035,494.2105263157895,3566.035087719298,1247.5851901754386,66845.47896491228,66821.79521052632,67059.39994736842,67082.36661403508,67164.89707017543,67185.91528070175,67202.07005263158,67205.14033333333,67224.87531578948,0.1986190089358245,-0.6622931915573511,-0.7492447720316625,-0.9955619646113696,0.094108313230818,1.0,4.0,53.0
1637937970.0,3.0,0.8834312807017544,485.2631578947368,3561.5438596491226,1253.7980317192983,65595.03145614035,65571.8932631579,65805.11568421053,65827.64901754385,65908.63108771929,65929.2783508772,65945.12831578948,65948.14066666666,65967.50389473684,0.1990251827782291,-0.6631645289259098,-0.7484736518906168,-0.99254615162167,0.1218693435652002,1.0,5.0,52.0
1637937986.0,3.0,0.8676147368421052,476.3157894736842,3557.0526315789475,1260.010873263158,64344.58394736842,64321.99131578948,64550.83142105263,64572.93142105263,64652.365105263154,64672.641421052635,64688.18657894737,64691.140999999996,64710.132473684214,0.1994313566206336,-0.66403496844404,-0.7477015184440399,-0.9887563811248729,0.1495353429288384,1.0,6.0,51.0
1637938002.0,3.0,0.8517981929824561,467.36842105263156,3552.561403508772,1266.2237148070176,63094.13643859649,63072.08936842106,63296.54715789473,63318.2138245614,63396.09912280701,63416.00449122807,63431.24484210526,63434.14133333333,63452.761052631584,0.1998375304630381,-0.6649045089768372,-0.7469283726986619,-0.9841956080173,0.1770847400524883,1.0,7.0,50.0
1637938018.0,3.0,0.835981649122807,458.42105263157896,3548.0701754385964,1272.436556350877,61843.68892982456,61822.18742105264,62042.262894736836,62063.49622807017,62139.83314035088,62159.36756140351,62174.303105263156,62177.14166666666,62195.38963157895,0.2002437043054427,-0.66577314930357,-0.7461542157398874,-0.9788673888614184,0.2044960513643934,1.0,8.0,49.0
1637938034.0,3.0,0.8201651052631579,449.4736842105263,3543.5789473684213,1278.6493978947367,60593.24142105263,60572.28547368421,60787.978631578946,60808.77863157894,60883.56715789474,60902.73063157895,60917.36136842105,60920.14199999999,60938.01821052632,0.2006498781478472,-0.6666408882808331,-0.7453790485867857,-0.9727758782646364,0.231747903262285,1.0,9.0,48.0
1637938050.0,3.0,0.8043485614035087,440.5263157894737,3539.0877192982457,1284.8622394385964,59342.7939122807,59322.383526315796,59533.69436842105,59554.06103508772,59627.301175438595,59646.09370175439,59660.419631578945,59663.14233333333,59680.646789473685,0.2010560519902518,-0.6675077247337999,-0.744602872288783,-0.9659258262862264,0.2588190451131271,1.0,10.0,47.0
1637938066.0,3.0,0.7885320175438597,431.57894736842104,3534.59649122807,1291.075080982456,58092.34640350877,58072.48157894737,58279.41010526316,58299.34343859649,58371.035192982454,58389.45677192983,58403.47789473684,58406.14266666667,58423.275368421055,0.2014622258326563,-0.6683736574563932,-0.74382568792585,-0.9583225745237962,0.2856883672081927,1.0,11.0,46.0
1637938082.0,3.0,0.7727154736842106,422.63157894736844,3530.1052631578946,1297.2879225263157,56841.89889473684,56822.57963157895,57025.12584210526,57044.62584210526,57114.76921052631,57132.819842105266,57146.536157894734,57149.143,57165.903947368424,0.2018683996750609,-0.6692386853195846,-0.7430474965113024,-0.9499720515109088,0.3123349185540341,1.0,12.0,45.0
1637938098.0,3.0,0.7568989298245614,413.6842105263158,3525.6140350877195,1303.5007640701754,55591.45138596491,55572.67768421053,55770.841578947366,55789.90824561403,55858.50322807017,55876.1829122807,55889.594421052636,55892.143333333326,55908.532526315794,0.2022745735174654,-0.6701028071089783,-0.7422682991376282,-0.9408807690125957,0.3387379200831622,1.0,13.0,44.0
1637938114.0,3.0,0.7410823859649123,404.7368421052631,3521.122807017544,1309.713605614035,54341.00387719298,54322.77573684211,54516.55731578947,54535.1906491228,54602.23724561403,54619.54598245614,54632.65268421052,54635.14366666666,54651.16110526316,0.20268074735987,-0.6709660216979066,-0.7414880968207678,-0.9310558158344234,0.3648767844093348,1.0,14.0,43.0
1637938130.0,3.0,0.7252658421052631,395.7894736842105,3516.6315789473683,1315.9264471578947,53090.55636842105,53072.873789473684,53262.27305263157,53280.473052631576,53345.971263157895,53362.909052631585,53375.710947368425,53378.144,53393.789684210526,0.2030869212022745,-0.6718283278745195,-0.7407068906560321,-0.9205048535068668,0.3907311283610531,1.0,15.0,42.0
1637938146.0,3.0,0.709449298245614,386.8421052631579,3512.1403508771928,1322.1392887017544,51840.10885964912,51822.97184210527,52007.98878947368,52025.75545614035,52089.70528070175,52106.272122807015,52118.76921052631,52121.14433333333,52136.4182631579,0.2034930950446791,-0.6726897245037493,-0.7399246816717697,-0.9092361090012576,0.4162807923604609,1.0,16.0,41.0
1637938162.0,3.0,0.6936327543859648,377.89473684210526,3507.6491228070176,1328.352130245614,50589.66135087719,50573.06989473685,50753.70452631579,50771.03785964912,50833.43929824561,50849.63519298246,50861.827473684214,50864.14466666666,50879.046842105265,0.2038992688870836,-0.6735502104086,-0.739141470936742,-0.8972583697212478,0.4415058526963924,1.0,17.0,40.0
1637938178.0,3.0,0.6778162105263158,368.9473684210526,3503.157894736842,1334.5649717894737,49339.213842105266,49323.16794736843,49499.420263157896,49516.32026315789,49577.17331578948,49592.9982631579,49604.8857368421,49607.145,49621.675421052634,0.2043054427294882,-0.6744097844240983,-0.7383572595113027,-0.8845809751483577,0.4663866404664488,1.0,18.0,39.0
1637938194.0,3.0,0.6619996666666667,360.0,3498.6666666666665,1340.7778133333334,48088.76633333333,48073.266,48245.136,48261.602666666666,48320.907333333336,48336.361333333334,48347.944,48350.145333333334,48364.304000000004,0.2047116165718927,-0.6752684453757725,-0.737572048466987,-0.8712138111561475,0.4909037535513255,1.0,19.0,38.0
1637938210.0,3.0,0.6461831228070176,351.0526315789474,3494.1754385964914,1346.990654877193,46838.3188245614,46823.36405263159,46990.8517368421,47006.88507017544,47064.641350877195,47079.72440350877,47091.00226315789,47093.14566666666,47106.93257894737,0.2051177904142973,-0.6761261921333194,-0.7367858388373772,-0.8571673008512508,0.5150380746618459,1.0,20.0,37.0
1637938226.0,3.0,0.6303665789473685,342.10526315789474,3489.684210526316,1353.2034964210525,45587.87131578947,45573.46210526316,45736.567473684205,45752.16747368421,45808.37536842105,45823.08747368421,45834.06052631579,45836.14599999999,45849.56115789474,0.2055239642567018,-0.6769830234925648,-0.7359986317262183,-0.8424523972797049,0.538770784580677,1.0,21.0,36.0
1637938242.0,3.0,0.6145500350877193,333.1578947368421,3485.1929824561403,1359.4163379649121,44337.42380701754,44323.56015789474,44482.283210526315,44497.44987719298,44552.10938596491,44566.45054385965,44577.11878947368,44579.14633333333,44592.189736842105,0.2059301380991064,-0.6778389383363468,-0.7352104281598938,-0.8270805744187618,0.5620833776399468,1.0,22.0,35.0
1637938258.0,3.0,0.5987334912280702,324.2105263157895,3480.7017543859647,1365.6291795087718,43086.976298245616,43073.65821052632,43227.99894736842,43242.732280701755,43295.84340350877,43309.81361403508,43320.17705263158,43322.14666666667,43334.81831578948,0.2063363119415109,-0.6786939354630631,-0.7344212292449475,-0.8110638192659326,0.5849576746036919,1.0,23.0,34.0
1637938274.0,3.0,0.582916947368421,315.2631578947368,3476.2105263157896,1371.8420210526315,41836.52878947368,41823.7562631579,41973.71468421053,41988.014684210524,42039.57742105263,42053.17668421053,42063.235315789476,42065.147,42077.446894736844,0.2067424857839155,-0.6795480137579433,-0.73363103601036,-0.7944146206711806,0.6073758395457168,1.0,24.0,33.0
1637938290.0,3.0,0.5671004035087719,306.31578947368416,3471.719298245614,1378.0548625964911,40586.08128070175,40573.854315789475,40719.43042105263,40733.2970877193,40783.31143859649,40796.539754385965,40806.29357894737,40808.14733333333,40820.075473684214,0.20714865962632,-0.6804011720326275,-0.7328398495555675,-0.7771459614407225,0.6293203910699026,1.0,25.0,32.0
1637938306.0,3.0,0.5512838596491227,297.36842105263156,3467.2280701754385,1384.2677041403508,39335.63377192982,39323.95236842106,39465.146157894735,39478.57949122807,39527.04545614035,39539.9028245614,39549.351842105265,39551.147666666664,39562.70405263158,0.2075548334687246,-0.6812534091320978,-0.7320476709517589,-0.7592713074588535,0.6507742171212094,1.0,26.0,31.0
