,Dataset,Method,Mask Type,Ratio,Avg MSE,STD of MSE,Avg Acc,STD of Acc
0,housing,Remasker,MAR,0.25,0.7299872202412164,0.0267256559242805,33.23064541776152,17.843079112163224
1,scenario33,Remasker,MAR,0.25,47138.67268728673,58550.14858095867,100.0,0.0
2,housing,Remasker,MAR,0.25,880704628.0677025,731506394.3027548,36.47959180830244,19.33806508839398
