cpu_limit,cpu_usage,lat100_ms,lat50_ms,lat75_ms,lat80_ms,lat90_ms,lat95_ms,lat98_ms,lat99_ms,mean_ms,n,ram_limit_mb,ram_usage_mb,t_norm,sin_day,cos_day,sin_hour,cos_hour,is_gap,time_since_last_obs,time_to_next_obs
3.5,0.08281201,479.20605,470.30664,475.91553,475.9795,477.7754,478.26953,478.5879,478.5879,467.24268,30.0,1792.0,606.56024,0.008935825,-0.17951767,-0.98375475,-0.9284858,-0.37136784,0.0,0.0,0.0
3.5,0.1153,619.8428,596.9751,604.6553,607.49365,611.69824,618.2661,618.9507,618.9507,594.71094,40.0,1792.0,658.8129,0.009341998,-0.1806622,-0.9835452,-0.938493,-0.3452982,0.0,0.0,0.0
3.5,0.060211003,1385.2075,1338.0571,1366.0693,1371.3579,1374.6519,1375.8745,1379.0122,1379.919,1343.6123,60.0,1792.0,797.97864,0.009748172,-0.18180647,-0.9833343,-0.9477684,-0.3189593,0.0,0.0,0.0
3.5,0.286556,1050.8999,1018.82324,1035.0098,1035.667,1040.0669,1043.5034,1046.7891,1050.0059,1005.22705,70.0,1792.0,852.3817,0.010154346,-0.18295053,-0.9831221,-0.9563047,-0.2923717,0.0,0.0,0.0
3.5,0.338384,1195.8857,1127.4541,1175.1631,1176.1934,1182.6641,1190.706,1191.2202,1194.4756,1134.6528,80.0,1792.0,855.8674,0.01056052,-0.18409431,-0.9829086,-0.9640954,-0.26555613,0.0,0.0,0.0
3.5,0.279012,1461.8706,1378.4751,1415.7129,1420.0781,1438.353,1445.4521,1451.436,1460.4341,1382.228,100.0,1792.0,861.8967,0.010966694,-0.18523785,-0.98269373,-0.9711343,-0.23853345,0.0,0.0,0.0
3.5,0.362392,1638.1191,1550.8364,1616.3271,1616.9863,1621.935,1625.335,1634.7622,1636.9331,1535.8359,109.99999,1792.0,433.24213,0.011372868,-0.18638115,-0.98247755,-0.9774159,-0.2113248,0.0,0.0,0.0
3.5,0.390209,2087.4863,1996.293,2056.6152,2061.0615,2066.7861,2075.0747,2083.5972,2084.1611,1988.8081,130.0,1792.0,444.8174,0.011779041,-0.18752418,-0.98226,-0.98293537,-0.18395135,0.0,0.0,0.0
3.5,0.48273,6319.392,6219.588,6272.574,6284.242,6306.779,6311.372,6315.558,6315.702,6219.064,140.0,1792.0,450.74838,0.012185215,-0.18866697,-0.9820411,-0.98768836,-0.15643446,0.0,0.0,0.0
3.5,0.485493,2254.421,2142.0684,2185.6992,2212.663,2239.1006,2251.997,2253.4814,2254.207,2131.0552,150.0,1792.0,459.60806,0.012591389,-0.18980949,-0.98182094,-0.99167114,-0.1287956,0.0,0.0,0.0
