time,split,cpu_limit,cpu_usage,lat100_ms,lat50_ms,lat75_ms,lat80_ms,lat90_ms,lat95_ms,lat98_ms,lat99_ms,mean_ms,n,ram_limit_mb,ram_usage_mb
1636553451.0,train,0.5,0.0,181.61292,175.87784,178.9806,178.9806,180.09588,180.09588,180.09588,180.09588,175.73288,10.0,256.0,217.821184
1636553464.0,train,0.5,0.0,181.61292,175.87784,178.9806,178.9806,180.09588,180.09588,180.09588,180.09588,175.73288,10.0,256.0,217.821184
1636553477.0,train,2.0,0.0057,186.79,184.067,185.702,185.702,186.292,186.292,186.292,186.292,182.663,10.0,1024.0,448.12288
1636553490.0,train,2.0,0.0,325.745,302.111,308.079,308.079,313.632,315.117,315.117,315.117,301.439,20.0,1024.0,562.274304
1636553503.0,train,2.0,0.016066,745.719,725.834,729.926,731.043,740.426,742.852,743.897,743.897,722.723,40.0,1024.0,639.688704
1636553516.0,train,2.0,0.0,885.658,858.39,870.854,871.67,883.309,884.418,884.678,884.678,858.051,50.0,1024.0,681.28768
1636553529.0,train,2.0,0.105559,979.709,940.851,963.985,964.695,971.097,979.489,979.498,979.685,937.769,60.0,1024.0,778.563584
1636553542.0,train,2.0,0.33184,1775.716,1726.85,1751.726,1755.602,1759.45,1768.376,1770.782,1774.665,1724.131,70.0,1024.0,834.224128
1636553555.0,train,2.0,0.246502,1169.458,1108.319,1146.095,1147.062,1151.661,1154.147,1156.156,1167.691,1111.75,80.0,1024.0,838.496256
1636553568.0,train,2.0,0.347677,2994.399,2943.759,2964.891,2965.882,2973.85,2992.294,2992.798,2992.814,2934.816,90.0,1024.0,842.719232
1636553581.0,train,2.0,0.347677,1734.423,1674.288,1708.479,1710.129,1723.659,1727.965,1733.385,1734.368,1657.436,100.0,1024.0,429.604864
1636553594.0,train,2.0,0.340037,1653.138,1582.378,1633.932,1637.93,1641.519,1646.816,1648.17,1648.502,1579.026,110.0,1024.0,433.360896
1636553607.0,train,2.0,0.486821,1919.83,1826.475,1883.578,1890.565,1903.077,1905.673,1909.774,1910.525,1817.818,130.0,1024.0,445.677568
1636553620.0,train,0.5,0.0,181.61292,175.87784,178.9806,178.9806,180.09588,180.09588,180.09588,180.09588,175.73288,10.0,256.0,217.821184
1636553633.0,train,2.0,0.573533,6157.805,6009.261,6077.913,6093.355,6117.166,6131.208,6134.158,6134.457,6028.824,140.0,1024.0,452.784128
1636553646.0,train,2.0,0.539525,2211.6,2092.633,2174.166,2180.489,2197.738,2200.143,2204.29,2209.568,2106.529,150.0,1024.0,461.975552
1636553659.0,train,2.0,0.456806,2328.183,2176.843,2274.994,2281.494,2323.238,2325.366,2326.678,2327.824,2196.627,160.0,1024.0,468.82816
1636553672.0,train,2.0,0.531007,8544.221,8393.142,8465.351,8486.831,8516.297,8534.31,8537.5,8539.914,8392.036,170.0,1024.0,480.653312
1636553685.0,train,2.0,0.519589,2985.27,2840.629,2914.893,2929.39,2942.481,2965.127,2965.713,2966.134,2827.986,180.0,1024.0,488.517632
1636553698.0,train,2.0,0.431666,3092.305,2964.086,3060.352,3063.221,3078.574,3084.327,3089.311,3090.272,2959.742,190.0,1024.0,499.134464
1636553711.0,train,2.0,0.674343,7732.03,7528.179,7662.082,7693.453,7709.386,7715.379,7721.158,7726.8,7530.571,200.0,1024.0,507.129856
1636553724.0,train,0.5,0.0,181.61292,175.87784,178.9806,178.9806,180.09588,180.09588,180.09588,180.09588,175.73288,10.0,256.0,217.821184
1636553737.0,train,2.0,0.70743,11291.59,11097.458,11196.91,11204.677,11222.205,11260.877,11269.412,11271.078,11102.339,210.0,1024.0,519.012352
1636553750.0,train,0.5,0.0,181.61292,175.87784,178.9806,178.9806,180.09588,180.09588,180.09588,180.09588,175.73288,10.0,256.0,217.821184
1636553763.0,train,2.0,0.619805,11895.059,11705.895,11818.292,11858.102,11871.609,11886.441,11889.677,11890.903,11719.763,220.0,1024.0,529.846272
1636553776.0,train,2.0,0.740856,10203.839,10030.439,10144.785,10148.033,10168.128,10177.997,10182.814,10184.382,10015.773,230.0,1024.0,541.437952
1636553789.0,train,0.5,0.0,181.61292,175.87784,178.9806,178.9806,180.09588,180.09588,180.09588,180.09588,175.73288,10.0,256.0,217.821184
1636553802.0,train,2.0,0.936727,12602.565,12375.869,12522.917,12533.059,12577.045,12581.921,12589.374,12598.609,12402.394,240.0,1024.0,553.050112
1636553815.0,train,0.5,0.0,181.61292,175.87784,178.9806,178.9806,180.09588,180.09588,180.09588,180.09588,175.73288,10.0,256.0,217.821184
1636553828.0,train,2.0,0.764781,12306.515,12044.014,12182.48,12203.636,12275.532,12286.288,12294.708,12299.546,12064.57,250.0,1024.0,567.529472
1636553841.0,train,2.0,0.655772,10619.594,10405.252,10525.919,10574.278,10596.186,10610.31,10614.396,10615.767,10412.5,260.0,1024.0,578.985984
1636553854.0,train,0.5,0.0,181.61292,175.87784,178.9806,178.9806,180.09588,180.09588,180.09588,180.09588,175.73288,10.0,256.0,217.821184
1636553867.0,train,0.5,0.0,181.61292,175.87784,178.9806,178.9806,180.09588,180.09588,180.09588,180.09588,175.73288,10.0,256.0,217.821184
1636553880.0,train,0.5,0.0,181.61292,175.87784,178.9806,178.9806,180.09588,180.09588,180.09588,180.09588,175.73288,10.0,256.0,217.821184
1636553893.0,train,0.5,0.0,181.61292,175.87784,178.9806,178.9806,180.09588,180.09588,180.09588,180.09588,175.73288,10.0,256.0,217.821184
1636553906.0,train,0.5,0.0,181.61292,175.87784,178.9806,178.9806,180.09588,180.09588,180.09588,180.09588,175.73288,10.0,256.0,217.821184
1636553919.0,train,0.5,0.0,181.61292,175.87784,178.9806,178.9806,180.09588,180.09588,180.09588,180.09588,175.73288,10.0,256.0,217.821184
